"","Names","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","primarylifestyle","taxon"
"235","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",2.86656935498713,"Wheat","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Minimedusa","polyspora","lichen_parasite","Minimedusa polyspora"
"42","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",-2.33369328047897,"Clover","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Minimedusa","polyspora","lichen_parasite","Minimedusa polyspora"
"116","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",-2.19618714310932,"Wheat-clover mix","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Minimedusa","polyspora","lichen_parasite","Minimedusa polyspora"
"231","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Chaetosphaeriales|f__Chaetosphaeriaceae|g__Chloridium|s__aseptatum|t__litter_saprotroph",2.37487864865014,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","Chloridium","aseptatum","litter_saprotroph","Chloridium aseptatum"
"112","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Omphalotaceae|g__Marasmiellus|s__paspali|t__litter_saprotroph",2.35218316042753,"Wheat-clover mix","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","Marasmiellus","paspali","litter_saprotroph","Marasmiellus paspali"
"238","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",3.09878036709689,"Wheat","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Sistotrema","coronilla","litter_saprotroph","Sistotrema coronilla"
"110","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",-2.68421833977042,"Clover","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Sistotrema","coronilla","litter_saprotroph","Sistotrema coronilla"
"117","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",-2.68000196173344,"Five-speices mix","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Sistotrema","coronilla","litter_saprotroph","Sistotrema coronilla"
"223","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae|g__Trichoderma|s__spirale|t__mycoparasite",2.00134064390586,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","Trichoderma","spirale","mycoparasite","Trichoderma spirale"
"225","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae|g__Trichoderma|s__tomentosum|t__mycoparasite",2.11650569467617,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","Trichoderma","tomentosum","mycoparasite","Trichoderma tomentosum"
"5","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|t__NA",-3.21745943177407,"No residue","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA,"NA","f__Mortierellaceae"
