,Sample.number,X,Moisture.treatment,Residue.type,Lab.rep,Glucose.addition.treatment,Harvest.day,frac.mass.recovery,frac.pct.pom,frac.pct.maom,pom.n.pct,pom.c.pct,pom.n.g.kg,pom.c.g.kg,pom.cn,maom.n.pct,maom.c.pct,maom.n.g.kg,maom.c.g.kg,maom.cn,bulk.soil.N.g.kg,bulk.soil.C.g.kg,bulk.soil.cn,frac.pct.n.as.pon,frac.pct.c.as.poc,frac.pct.n.as.maon,frac.pct.c.as.maoc,frac.c.recovery,frac.n.recovery,d13C.som,d13C.pom,d13C.maom,X13soc,X13poc,X13maoc,doc,mbc,X13doc,X13mbc,X13co2,CUE,GMC,Moisture.pct,co2,co2.native,dna,file.names.ITS,richness.ITS,shannon.div.ITS,simpson.div.ITS,invsimpson.div.ITS,evenness.ITS,Harvest.day2,file.names.16S,richness.16S,shannon.div.16S,simpson.div.16S,invsimpson.div.16S,evenness.16S
4,101,4,Drought,Clover,R3,G-50,T1,97.6090301,19.46198574,80.53801426,0.141,2.03,0.267852843,3.85632107,14.39716312,0.18,1.336,1.415022742,10.50261324,7.422222222,2.08,16.54,7.95,12.88,23.31512134,68.03,63.49826629,86.81338763,80.90748006,-17.55062515,-21.47602951,-17.71201762,29.73856843,3.896219292,17.19219098,57.13,929.4505902,4.646432671,12.63343812,11.34143826,0.52694487,0.272222222,21.39737991,32.20868997,3.440696785,153.408,Wooliver_ITS_2B2_Beever240927_S270,312,4.185203547,0.964176146,27.914361,0.728748254,24 hr,Wooliver_16S_2B2_Beever240927_S106,14536,7.95430513,0.996586185,292.9274185,0.829923494
5,102,5,Drought,Clover,R3,G-50,T90,97.49558916,19.32454573,80.67545427,0.096,1.799,0.180869565,3.38942029,18.73958333,0.13,0.959,1.022515123,7.543015406,7.376923077,1.88,13.84,7.36,9.62,24.490031,54.39,54.5015564,78.9915874,64.00982383,-18.08405814,-22.569111,-17.93169957,15.48191403,0.6542262,10.64442504,37.99,468.7682419,1.331416918,0.828753922,26.06017707,0.030821379,0.263392857,20.84805654,1474.251399,-30.67638593,89.165,Wooliver_ITS_2B7_Beever240927_S310,233,3.771690648,0.952144625,20.89629451,0.69192149,6 mo,Wooliver_16S_2B7_Beever240927_S146,11694,7.383788841,0.994521428,182.5293154,0.788291014
6,103,6,Drought,Clover,R3,G-00,T1,97.4769385,19.20103137,80.79896863,0.186,3.773,0.348128342,7.061764706,20.28494624,0.136,1.082,1.071140909,8.521871056,7.955882353,2.11,18.09,8.57,16.5,39.03684193,50.76,47.10818715,86.14502909,67.26394556,-24.2173666,-25.22331753,-23.78094295,NA,NA,NA,63.83,552.4135915,NA,NA,NA,NA,0.266343826,21.03250478,17.42655493,NA,144.939,Wooliver_ITS_1B4_Beever240927_S190,329,4.22362559,0.963513368,27.40729844,0.728706609,24 hr,Wooliver_16S_1B4_Beever240927_S26,12168,7.804282486,0.996277031,268.6028347,0.829663392
7,104,7,Drought,Clover,R3,G-00,T90,97.42729084,19.35587202,80.64412798,0.076,1.803,0.143320053,3.400079681,23.72368421,0.149,1.081,1.170683898,8.493350963,7.255033557,1.87,15.24,8.15,7.66,22.31023413,62.6,55.73064936,78.04088349,70.26759096,-22.22963282,-23.28463187,-23.16267552,NA,NA,NA,33.64,378.6120153,NA,NA,NA,NA,0.260683761,20.6779661,1478.657214,NA,87.328,Wooliver_ITS_1B9_Beever240927_S230,238,3.723018088,0.945787677,18.4459907,0.680342459,6 mo,Wooliver_16S_1B9_Beever240927_S66,8647,7.143764281,0.993730525,159.5029874,0.788062848
8,105,8,Drought,No residue,R3,G-50,T1,97.07391304,18.53568119,81.46431881,0.072,1.244,0.129551839,2.238367893,17.27777778,0.103,0.969,0.814530201,7.662910334,9.40776699,1.19,12.22,10.27,10.89,18.31724953,68.45,62.70794054,81.02519008,79.33462522,-11.23572927,-14.14011642,-13.38119148,35.94914904,4.653339028,19.46016977,12.2,662.3451734,1.16009067,7.932097584,12.61706809,0.386005822,0.263551402,20.85798817,19.75200323,-0.558468651,84.874,Wooliver_ITS_2C2_Beever240927_S271,535,5.084405681,0.973280662,37.42607696,0.809326615,24 hr,Wooliver_16S_2C2_Beever240927_S107,20373,9.439734484,0.99985359,6830.127156,0.951397606
9,106,9,Drought,No residue,R3,G-50,T90,97.77547554,18.13438202,81.86561798,0.067,1.196,0.118797554,2.120625,17.85074627,0.095,0.847,0.760422724,6.77976892,8.915789474,1.13,10.76,9.52,10.51,19.70841078,67.29,63.00900483,82.71741561,77.80710429,-14.91557158,-18.72524088,-12.95207686,17.68577228,3.250850482,16.97214975,40.05,714.375217,1.0582149,1.410711382,23.89206097,0.055753234,0.24217119,19.49579832,895.7717624,-3.026691493,56.349,Wooliver_ITS_2C7_Beever240927_S311,471,5.642757803,0.994787881,191.860536,0.916797385,6 mo,Wooliver_16S_2C7_Beever240927_S147,20199,9.401155702,0.999840255,6259.962348,0.948329203
10,107,10,Drought,No residue,R3,G-00,T1,98.01169786,18.27785754,81.72214246,0.077,1.347,0.137941176,2.413074866,17.49350649,0.097,0.923,0.776943416,7.392977039,9.515463918,1.25,12.73,10.18,11.04,18.95581199,62.16,58.07523204,77.03104403,73.19076738,-22.13764472,-21.84354678,-22.79391245,NA,NA,NA,40.49,489.25761,NA,NA,NA,NA,0.259109312,20.57877814,7.693403785,NA,76.834,Wooliver_ITS_1C4_Beever240927_S191,490,5.520448302,0.992253804,129.0956157,0.891199067,24 hr,Wooliver_16S_1C4_Beever240927_S27,21356,9.455948466,0.999844307,6422.882951,0.948526932
11,108,11,Drought,No residue,R3,G-00,T90,97.60422252,18.40337029,81.59662971,0.046,0.838,0.082627346,1.505254692,18.2173913,0.098,0.901,0.780489209,7.175722218,9.193877551,1.16,10.99,9.47,7.12,13.696585,67.28,65.2931958,78.9897808,74.40659957,-21.00482966,-24.40964176,-22.2293022,NA,NA,NA,25.78,350.2564726,NA,NA,NA,NA,0.260617761,20.67381317,874.7774637,NA,58.835,Wooliver_ITS_1C9_Beever240927_S231,491,5.738749474,0.995270477,211.4378082,0.926135919,6 mo,Wooliver_16S_1C9_Beever240927_S67,18889,9.310867764,0.999818851,5520.303776,0.945617607
12,109,12,Drought,Five-species mix,R3,G-50,T1,97.34147157,18.41601644,81.58398356,0.128,2.002,0.229458194,3.588869565,15.640625,0.155,1.232,1.230933278,9.783934181,7.948387097,1.99,16.46,8.27,11.53,21.80358181,61.86,59.44066938,81.24425119,73.38650611,-16.8559857,-20.13398008,-16.91091726,33.25418819,3.593683371,18.47648001,56.75,565.7491514,6.050956695,4.827085469,12.0873856,0.285381993,0.274193548,21.51898734,32.59116254,2.347793214,142.733,Wooliver_ITS_2D2_Beever240927_S272,278,3.803635325,0.943775819,17.78594154,0.675886889,24 hr,Wooliver_16S_2D2_Beever240927_S108,11855,7.530177846,0.995435003,219.0581744,0.802747597
14,110,14,Drought,Five-species mix,R3,G-50,T90,96.31316138,18.88405533,81.11594467,0.071,1.71,0.129133598,3.110119048,24.08450704,0.127,1,0.9921917,7.812533069,7.874015748,1.84,14.28,7.76,7.02,21.77954515,53.92,54.70961533,76.48916048,60.94159226,-16.61034162,-21.82535519,-19.11334237,21.12025907,2.049664554,10.76835964,37.79,672.2632307,2.495265087,0.810580898,27.3628421,0.028771119,0.260869565,20.68965517,1544.429664,-68.58268841,74.057,Wooliver_ITS_2D7_Beever240927_S312,224,3.521568841,0.931731151,14.64796923,0.650738945,6 mo,Wooliver_16S_2D7_Beever240927_S148,9546,6.875315954,0.992594237,135.0299742,0.750262752
