Sample number,Moisture treatment,Residue type,Lab rep,Glucose addition treatment,Harvest day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
2,Ambient,CLOV,R1,G-50,T90,0,9.067620397,0.968133458,0.764636942,0.561140425,0.498191386,0.435242348,0.38896956,0.342696771,0.293984754,0.245272736,0.2514832,0.257693664,0.263904128,0.22849102,0.193077912,0.194398865,0.195719818,0.197040772,0.198361725,0.190765937,0.18317015,0.175574362,0.167270112,0.158965863,0.150661613,0.142357363,0.134447211,0.126537058,0.118626906,0.11789797,0.117169034,0.116440098,0.115711162,0.112021528,0.108331894,0.10464226,0.10103944,0.097436619,0.093833798,0.090230978,0.086628157,0.083025336,0.079422516,0.079422516,0.079422516,0.079422516,0.079422516,0.079422516,0.079422516,0.079422516,0.076031992,0.072641469,0.069250946,0.065860422,0.062469899,0.059079375,0.055688852,0.055642528,0.055596204,0.05554988,0.055503556,0.055457232,0.055410909,0.055364585,0.054727911,0.054091237,0.053454563,0.052817889,0.052181216,0.051544542,0.050907868,0.050271194,0.04963452,0.048997847,0.048774463,0.048551079,0.048327695,0.048104311,0.047880927,0.047657543,0.047434159,0.046125575,0.044816992,0.043508408,0.042199824,0.04089124,0.039582657,0.038274073,0.038497217,0.038720362,0.038943506,0.039166651,0.039389795,0.03961294,0.039836084,0.039764403,0.039692722,0.039621041,0.03954936,0.039477679,0.039405998,0.039334317,0.039087985,0.038841654,0.038595323,0.038348992,0.03810266,0.037856329,0.037609998,0.03709934,0.036588683,0.036078025,0.035567368,0.03505671,0.034546053,0.034035395,0.033524738,0.03301408,0.033189927,0.032838233,0.032662387,0.03248654,0.032310693,0.032134846,0.031958999,0.031783152,0.031607306,0.031431459,0.031255612,0.030903918,0.031472696,0.030335141,0.029766363,0.029197586,0.028628808,0.028060031,0.026922476,0.026558546,0.026194616,0.025830686,0.025466756,0.025102825,0.024738895,0.024374965,0.024011035,0.023786847,0.02356266,0.023338472,0.023114284,0.022890097,0.022665909,0.022441721,0.022217534,0.022408251,0.022598968,0.022789686,0.022980403,0.02317112,0.023361837,0.023552555,0.02349299,0.023433424,0.023373859,0.023314294,0.023254729,0.023195164,0.023135598,0.023076033,0.023016468,0.022956903,0.022897338,0.022837772,0.022778207,0.02272101,0.022663812,0.022606615,0.022549418,0.02249222,0.022435023,0.022377825,0.022320628,0.02226343,0.022206233,0.022149036,0.022091838,0.022034641,0.021977443,0.021920246,0.021863049,0.021805851,0.021748654,0.021691456,0.021634259
4,Ambient,CLOV,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ambient,NONE,R1,G-50,T90,0,15.28532248,0.899804363,0.68786866,0.475932958,0.429954508,0.383976057,0.336531551,0.289087045,0.241706602,0.19432616,0.200607818,0.206889476,0.213171135,0.180288805,0.147406476,0.147403985,0.147401494,0.147399003,0.147396512,0.143801414,0.140206316,0.136611218,0.128873407,0.121135596,0.113397786,0.105659975,0.099928714,0.094197454,0.088466193,0.086718071,0.084969948,0.083221825,0.081473702,0.07989669,0.078319678,0.076742666,0.074347395,0.071952125,0.069556855,0.067161585,0.064766315,0.062371044,0.059975774,0.059975774,0.059975774,0.059975774,0.059975774,0.059975774,0.059975774,0.059975774,0.057643492,0.05531121,0.052978928,0.050646646,0.048314364,0.045982081,0.043649799,0.043914616,0.044179433,0.044444249,0.044709066,0.044973883,0.0452387,0.045503516,0.04517223,0.044840944,0.044509657,0.044178371,0.043847084,0.043515798,0.043184512,0.042853225,0.042521939,0.042190652,0.04203236,0.041874067,0.041715774,0.041557482,0.041399189,0.041240896,0.041082603,0.039435941,0.037789278,0.036142616,0.034495953,0.032849291,0.031202628,0.029555966,0.02973814,0.029920315,0.030102489,0.030284664,0.030466839,0.030649013,0.030831188,0.030703179,0.03057517,0.030447161,0.030319152,0.030191144,0.030063135,0.029935126,0.0296597,0.029384274,0.029108848,0.028833421,0.028557995,0.028282569,0.028007143,0.027689874,0.027372606,0.027055338,0.026738069,0.026420801,0.026103532,0.025786264,0.025468995,0.025151727,0.02528017,0.025023283,0.024894839,0.024766396,0.024637952,0.024509508,0.024381065,0.024252621,0.024124177,0.023995734,0.02386729,0.023610403,0.02420375,0.023017056,0.022423709,0.021830362,0.021237015,0.020643668,0.019456974,0.019043913,0.018630853,0.018217793,0.017804733,0.017391673,0.016978613,0.016565552,0.016152492,0.016117752,0.016083012,0.016048271,0.016013531,0.015978791,0.01594405,0.01590931,0.01587457,0.015863291,0.015852011,0.015840732,0.015829453,0.015818174,0.015806895,0.015795616,0.015794635,0.015793653,0.015792672,0.015791691,0.015790709,0.015789728,0.015788747,0.015787765,0.015786784,0.015785803,0.015784821,0.01578384,0.015782859,0.015744707,0.015706555,0.015668403,0.015630252,0.0155921,0.015553948,0.015515796,0.015477645,0.015439493,0.015401341,0.015363189,0.015325038,0.015286886,0.015248734,0.015210582,0.015172431,0.015134279,0.015096127,0.015057975,0.015019824
8,Ambient,NONE,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ambient,SHMX,R1,G-50,T90,0,12.73671846,1.012656179,0.792138199,0.571620219,0.502592375,0.433564531,0.388256252,0.342947973,0.288773484,0.234598995,0.236629734,0.238660474,0.240691213,0.209242972,0.177794731,0.176335757,0.174876784,0.17341781,0.171958836,0.16602209,0.160085344,0.154148598,0.147312116,0.140475633,0.133639151,0.126802668,0.120738623,0.114674577,0.108610532,0.107280413,0.105950293,0.104620174,0.103290055,0.102618505,0.101946954,0.101275404,0.097912469,0.094549535,0.0911866,0.087823666,0.084460731,0.081097797,0.077734862,0.077734862,0.077734862,0.077734862,0.077734862,0.077734862,0.077734862,0.077734862,0.074981281,0.0722277,0.069474119,0.066720538,0.063966957,0.061213376,0.058459795,0.05830216,0.058144526,0.057986891,0.057829256,0.057671621,0.057513986,0.057356351,0.056798702,0.056241052,0.055683402,0.055125752,0.054568103,0.054010453,0.053452803,0.052895153,0.052337503,0.051779854,0.051898029,0.052016204,0.052134378,0.052252553,0.052370728,0.052488903,0.052607078,0.050825944,0.049044809,0.047263674,0.04548254,0.043701405,0.04192027,0.040139135,0.040307158,0.04047518,0.040643203,0.040811225,0.040979248,0.04114727,0.041315293,0.041230605,0.041145917,0.041061229,0.040976541,0.040891854,0.040807166,0.040722478,0.041005984,0.041289489,0.041572995,0.041856501,0.042140006,0.042423512,0.042707018,0.042325386,0.041943755,0.041562124,0.041180493,0.040798861,0.04041723,0.040035599,0.039653968,0.039272336,0.039345283,0.039199389,0.039126442,0.039053495,0.038980549,0.038907602,0.038834655,0.038761708,0.038688761,0.038615814,0.038542867,0.038396973,0.039235966,0.03755798,0.036718987,0.035879993,0.035041,0.034202007,0.032524021,0.031944771,0.031365521,0.030786271,0.030207021,0.029627771,0.029048521,0.028469271,0.027890021,0.027721584,0.027553146,0.027384708,0.027216271,0.027047833,0.026879396,0.026710958,0.026542521,0.026821828,0.027101135,0.027380442,0.027659749,0.027939056,0.028218363,0.028497671,0.028341814,0.028185958,0.028030101,0.027874245,0.027718388,0.027562531,0.027406675,0.027250818,0.027094962,0.026939105,0.026783249,0.026627392,0.026471536,0.026486468,0.0265014,0.026516333,0.026531265,0.026546197,0.026561129,0.026576061,0.026590994,0.026605926,0.026620858,0.02663579,0.026650723,0.026665655,0.026680587,0.026695519,0.026710452,0.026725384,0.026740316,0.026755248,0.026770181
12,Ambient,SHMX,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ambient,WHCL,R1,G-50,T90,0,12.57848374,1.092233593,0.853825012,0.61541643,0.544951417,0.474486404,0.429225031,0.383963659,0.328687316,0.273410973,0.278332992,0.283255011,0.288177029,0.251659643,0.215142256,0.215930728,0.2167192,0.217507672,0.218296143,0.21207584,0.205855536,0.199635232,0.191869613,0.184103993,0.176338373,0.168572753,0.160484723,0.152396692,0.144308662,0.14300447,0.141700278,0.140396086,0.139091894,0.126841781,0.114591668,0.102341555,0.101480767,0.100619978,0.09975919,0.098898401,0.098037613,0.097176824,0.096316036,0.096316036,0.096316036,0.096316036,0.096316036,0.096316036,0.096316036,0.096316036,0.090176392,0.084036749,0.077897105,0.071757462,0.065617819,0.059478175,0.053338532,0.052857142,0.052375753,0.051894363,0.051412974,0.050931584,0.050450195,0.049968805,0.0492009,0.048432996,0.047665091,0.046897186,0.046129281,0.045361377,0.044593472,0.043825567,0.043057663,0.042289758,0.042031623,0.041773489,0.041515354,0.04125722,0.040999085,0.04074095,0.040482816,0.03910346,0.037724104,0.036344748,0.034965392,0.033586036,0.03220668,0.030827324,0.031209624,0.031591923,0.031974223,0.032356523,0.032738823,0.033121122,0.033503422,0.033160429,0.032817437,0.032474444,0.032131451,0.031788459,0.031445466,0.031102473,0.030934013,0.030765553,0.030597092,0.030428632,0.030260172,0.030091712,0.029923252,0.029778677,0.029634103,0.029489529,0.029344954,0.02920038,0.029055806,0.028911232,0.028766657,0.028622083,0.028706365,0.028537801,0.028453519,0.028369236,0.028284954,0.028200672,0.028116389,0.028032107,0.027947825,0.027863543,0.02777926,0.027610696,0.028174625,0.027046767,0.026482837,0.025918908,0.025354979,0.02479105,0.023663191,0.02333956,0.023015929,0.022692299,0.022368668,0.022045037,0.021721406,0.021397775,0.021074144,0.020914619,0.020755095,0.02059557,0.020436046,0.020276522,0.020116997,0.019957473,0.019797948,0.020059141,0.020320334,0.020581527,0.02084272,0.021103912,0.021365105,0.021626298,0.021585073,0.021543848,0.021502623,0.021461398,0.021420173,0.021378948,0.021337723,0.021296498,0.021255273,0.021214048,0.021172823,0.021131598,0.021090373,0.021012608,0.020934843,0.020857078,0.020779313,0.020701548,0.020623783,0.020546018,0.020468253,0.020390488,0.020312723,0.020234958,0.020157193,0.020079428,0.020001663,0.019923898,0.019846133,0.019768368,0.019690603,0.019612838,0.019535073
16,Ambient,WHCL,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ambient,WHEA,R1,G-50,T90,0,10.58675109,1.178671017,0.919070501,0.659469985,0.564615081,0.469760177,0.424271038,0.378781899,0.320553838,0.262325778,0.263956352,0.265586926,0.267217501,0.24234161,0.21746572,0.215064396,0.212663071,0.210261747,0.207860422,0.197472588,0.187084753,0.176696919,0.168643802,0.160590685,0.152537568,0.144484451,0.140524975,0.136565498,0.132606022,0.129654395,0.126702768,0.123751141,0.120799514,0.117285885,0.113772255,0.110258625,0.108084332,0.105910038,0.103735744,0.101561451,0.099387157,0.097212863,0.095038569,0.095038569,0.095038569,0.095038569,0.095038569,0.095038569,0.095038569,0.095038569,0.089337331,0.083636092,0.077934854,0.072233615,0.066532377,0.060831138,0.0551299,0.054636696,0.054143493,0.05365029,0.053157087,0.052663884,0.052170681,0.051677477,0.051143839,0.050610201,0.050076563,0.049542924,0.049009286,0.048475648,0.04794201,0.047408371,0.046874733,0.046341095,0.044961623,0.043582151,0.042202679,0.040823208,0.039443736,0.038064264,0.036684792,0.035871641,0.035058489,0.034245338,0.033432187,0.032619035,0.031805884,0.030992732,0.03094871,0.030904687,0.030860664,0.030816642,0.030772619,0.030728597,0.030684574,0.030307268,0.029929961,0.029552654,0.029175347,0.02879804,0.028420733,0.028043426,0.028381505,0.028719583,0.029057662,0.02939574,0.029733818,0.030071897,0.030409975,0.030098111,0.029786247,0.029474383,0.029162518,0.028850654,0.02853879,0.028226926,0.027915061,0.027603197,0.027639777,0.027566617,0.027530038,0.027493458,0.027456878,0.027420298,0.027383719,0.027347139,0.027310559,0.027273979,0.0272374,0.02716424,0.027791901,0.026536579,0.025908918,0.025281257,0.024653596,0.024025935,0.022770613,0.022576639,0.022382664,0.02218869,0.021994715,0.021800741,0.021606766,0.021412792,0.021218818,0.021122256,0.021025695,0.020929133,0.020832572,0.020736011,0.020639449,0.020542888,0.020446326,0.020630921,0.020815516,0.021000111,0.021184706,0.021369301,0.021553896,0.021738491,0.021631281,0.021524071,0.021416861,0.021309651,0.021202441,0.021095232,0.020988022,0.020880812,0.020773602,0.020666392,0.020559182,0.020451973,0.020344763,0.020253492,0.020162221,0.02007095,0.019979679,0.019888408,0.019797137,0.019705866,0.019614595,0.019523324,0.019432053,0.019340782,0.01924951,0.019158239,0.019066968,0.018975697,0.018884426,0.018793155,0.018701884,0.018610613,0.018519342
20,Ambient,WHEA,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
