Sample number,Moisture treatment,Residue type,Lab rep,Glucose addition treatment,Harvest day,Initial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
2,control,CLOV,R1,G-50,T90,14970,0,21.14346851,36.31711219,50.87096907,64.80503916,79.08735963,93.71793051,108.4024983,123.1410629,136.6651258,148.9746869,161.9291644,175.5285584,189.7728689,203.0698576,215.4195245,228.0804788,241.0527205,254.3362497,267.9310664,281.3809711,294.685964,307.8460449,320.6911911,333.2214024,345.4366791,357.3370209,368.7707027,379.7377244,390.2380861,400.784663,411.3774552,422.0164626,432.7016853,443.2399017,453.6311119,463.8753159,473.9435595,483.8358426,493.5521654,503.0925277,512.4569296,521.645371,530.657852,539.5327872,548.2701764,556.8700196,565.332317,573.6570685,581.844274,589.8939337,597.8521549,605.7189376,613.4942819,621.1781878,628.7706552,636.2716841,643.6812746,651.1559808,658.6958027,666.3007402,673.9707935,681.7059623,689.5062469,697.3716472,705.1969682,712.9822101,720.7273728,728.4324563,736.0974606,743.7223857,751.3072316,758.8519984,766.3566859,773.8212943,781.2858227,788.7502712,796.2146398,803.6789284,811.1431372,818.607266,826.0713149,833.3627802,840.4816619,847.4279601,854.2016747,860.8028058,867.2313533,873.4873172,879.8156864,886.2164608,892.6896404,899.2352253,905.8532154,912.5436107,919.3064113,926.1061746,932.9429006,939.8165893,946.7272407,953.6748548,960.6594317,967.6809712,974.689846,981.6860558,988.6696008,995.6404809,1002.598696,1009.544247,1016.477132,1023.30229,1030.01972,1036.629422,1043.131397,1049.525644,1055.812163,1061.990955,1068.062019,1074.025355,1080.013747,1085.952027,1091.865252,1097.753421,1103.616534,1109.454591,1115.267592,1121.055538,1126.818428,1132.556262,1138.26904,1143.931707,1149.679812,1155.25704,1160.748828,1166.155177,1171.476087,1176.711558,1181.776151,1186.771648,1191.69805,1196.555357,1201.343569,1206.062685,1210.712706,1215.293631,1219.805462,1224.284401,1228.730449,1233.143605,1237.523871,1241.871244,1246.185727,1250.467318,1254.716018,1259.017293,1263.371144,1267.77757,1272.236571,1276.748148,1281.3123,1285.929027,1290.523141,1295.094641,1299.643528,1304.169801,1308.673461,1313.154507,1317.612939,1322.048758,1326.461964,1330.852556,1335.220534,1339.565899,1343.88865,1348.208299,1352.524844,1356.838287,1361.148627,1365.455864,1369.759998,1374.06103,1378.358958,1382.653784,1386.945507,1391.234127,1395.519644,1399.802059,1404.08137,1408.357579,1412.630685,1416.900688,1421.167588,1425.431385,1429.69208
4,control,CLOV,R1,G-00,T90,15640,0,15.03465857,29.84315026,44.08916033,57.77268878,71.8594591,86.3494713,100.7368178,115.0214985,128.0327345,139.7705258,152.086755,164.9814222,178.4545273,191.0155309,202.6644332,214.4912399,226.495951,238.6785665,251.0390863,263.2949161,275.4460559,287.4925056,299.2388956,310.685226,321.8314966,332.6777076,343.2241479,353.4708175,363.4177164,373.3648741,383.3122906,393.2599658,403.2078999,413.1407816,423.0586109,432.9613878,442.6883032,452.2393568,461.6145489,470.8138793,479.8373481,488.6849553,497.3567008,505.8743107,514.2377851,522.4471238,530.502327,538.4033945,546.1503265,553.7431228,561.2742051,568.7435733,576.1512275,583.4971677,590.7813937,598.0039058,605.1647037,612.3754943,619.6362775,626.9470534,634.3078218,641.7185829,649.1793366,656.690083,664.1024615,671.4164722,678.6321151,685.7493901,692.7682973,699.6888367,706.5110083,713.234812,719.860248,726.387316,732.9400151,739.5183451,746.1223061,752.751898,759.4071209,766.0879748,772.7944596,779.2814929,785.5490748,791.5972053,797.4258843,803.0351118,808.4248879,813.5952126,818.847429,824.1815374,829.5975376,835.0954296,840.6752135,846.3368893,852.0804569,857.831485,863.5899737,869.3559229,875.1293326,880.9102029,886.6985337,892.4943251,898.3068621,904.1361447,909.982173,915.8449469,921.7244665,927.6207317,933.5337425,939.4059121,945.2372404,951.0277275,956.7773732,962.4861777,968.1541409,973.7812629,979.3675436,984.912983,990.4593546,996.0038618,1001.547437,1007.09008,1012.631791,1018.172569,1023.712416,1029.25133,1034.789312,1040.326362,1045.86248,1051.396733,1057.032868,1062.46524,1067.795731,1073.024342,1078.151071,1083.17592,1087.997006,1092.748297,1097.429793,1102.041493,1106.583397,1111.055506,1115.457819,1119.790337,1124.053059,1128.323215,1132.600804,1136.885827,1141.178283,1145.478173,1149.785496,1154.100252,1158.422442,1162.760858,1167.115499,1171.486365,1175.873457,1180.276774,1184.696316,1189.132084,1193.536697,1197.910154,1202.252455,1206.563601,1210.843591,1215.092426,1219.310106,1223.496629,1227.651998,1231.776211,1235.869268,1239.93117,1243.961916,1247.972801,1251.963826,1255.93499,1259.886294,1263.817737,1267.729319,1271.62104,1275.492901,1279.344901,1283.17704,1286.989319,1290.781737,1294.554294,1298.306991,1302.039827,1305.752802,1309.445917,1313.119171,1316.772564,1320.406096
6,control,NONE,R1,G-50,T90,12210,0,6.17364346,14.79854363,22.9726738,30.69603397,38.60778725,46.70793362,54.73188709,62.67964764,69.96955543,76.60161046,83.65995593,91.14459184,99.05551818,106.4176571,113.2310085,120.1645665,127.2183309,134.3923018,141.6864792,148.9735822,156.2536109,163.5265651,170.6233139,177.5438572,184.2881951,190.8563275,197.2662682,203.5180173,209.6115748,215.7065024,221.8028002,227.9004683,233.9995065,240.1553946,246.3681325,252.6377202,258.7949006,264.8396736,270.7720392,276.5919975,282.2995484,287.8946919,293.3774281,298.7854969,304.1188985,309.3776328,314.5616999,319.6710996,324.7058321,329.6658972,334.6183199,339.5631,344.5002376,349.4297326,354.3515851,359.2657951,364.1723625,369.1085579,374.0743812,379.0698324,384.0949116,389.1496187,394.2339537,399.3479167,404.4339658,409.492101,414.5223224,419.5246299,424.4990235,429.4455032,434.364069,439.254721,444.1174591,448.9522833,453.8271494,458.7420572,463.6970068,468.6919982,473.7270314,478.8021064,483.9172232,488.8347983,493.5548317,498.0773234,502.4022733,506.5296816,510.4595481,514.191873,518.0108784,521.9165646,525.9089313,529.9879788,534.1537068,538.4061155,542.7452049,547.0919227,551.4462689,555.8082436,560.1778467,564.5550782,568.9399381,573.3324265,577.7132355,582.0823652,586.4398154,590.7855863,595.1196778,599.4420899,603.7528227,608.0233158,612.2535693,616.4435832,620.5933574,624.7028921,628.7721871,632.8012424,636.7900582,640.7386343,644.6867519,648.6357866,652.5852798,656.5352315,660.4856418,664.4365106,668.387838,672.3396239,676.2918683,680.2445713,684.1977328,688.1518115,692.1792008,696.0599687,699.8674257,703.601572,707.2624076,710.8499324,714.2908356,717.6785046,721.0129393,724.2941398,727.522106,730.696838,733.8183357,736.8865992,739.9016283,742.9246743,745.955737,748.9948165,752.0419127,755.0970258,758.1601555,761.2313021,764.3104654,767.3969877,770.4908692,773.5921097,776.7007093,779.8166679,782.9399856,786.0706624,789.1955927,792.3147764,795.4282136,798.5359043,801.6378484,804.734046,807.824497,810.9092016,813.9881596,817.061371,820.128836,823.1905544,826.2465262,829.2965877,832.3407387,835.3789794,838.4113096,841.4377294,844.4582388,847.4728378,850.4815263,853.4843045,856.4811723,859.4721296,862.4571766,865.4363131,868.4095392,871.3768549,874.3382602,877.2937551,880.2433395,883.1870136,886.1247772
8,control,NONE,R1,G-00,T90,11650,0,8.297698053,16.73428183,24.82534196,32.57087843,40.66124228,49.0964335,58.34627127,68.41075559,77.02992403,84.20377658,91.67688966,99.44926329,107.5208975,114.9929249,121.8653456,128.8178958,135.8505756,142.9633848,150.1563235,157.6056163,165.3112632,173.2732642,180.9802267,188.4321508,195.6290366,202.5708839,209.3770651,216.0475803,222.5824294,229.0849477,235.5551352,241.9929919,248.3985178,254.8504534,261.3487987,267.8935537,274.365902,280.7658436,287.0933785,293.3485066,299.531228,305.6415427,311.6794506,317.5962268,323.3918712,329.0663837,334.6197645,340.0520135,345.3631308,350.5531162,355.6706876,360.715845,365.6885884,370.5889177,375.416833,380.1723343,384.8554216,389.6356081,394.5128937,399.4872786,404.5587626,409.7273459,414.9930283,420.3558099,425.7482678,431.1704019,436.6222123,442.1036989,447.6148617,453.1557008,458.7262162,464.3264078,469.9562756,475.6158197,481.1399787,486.5287524,491.7821409,496.9001443,501.8827625,506.7299955,511.4418433,516.0229071,520.4731869,524.7926827,528.9813946,533.0393224,536.9664661,540.7628259,544.6341345,548.580392,552.6015982,556.6977532,560.8688571,565.1149098,569.4359113,573.7210449,577.9703107,582.1837087,586.3612388,590.502901,594.6086954,598.6786219,602.7502358,606.8235369,610.8985253,614.9752009,619.0535639,623.1336141,627.2153516,631.2909843,635.3605121,639.4239351,643.4812532,647.5324665,651.5775749,655.6165785,659.6494772,663.6762711,667.7137348,671.7298589,675.7353132,679.7300976,683.7142122,687.687657,691.650432,695.6025372,699.5439725,703.474738,707.3948337,711.2935898,715.2547997,719.0911019,722.8649503,726.5763447,730.2252853,733.811772,737.273351,740.675742,744.0189451,747.3029601,750.5277872,753.6934262,756.7998773,759.8471404,762.8352156,765.8201019,768.8017994,771.7803082,774.7556281,777.7277593,780.6967017,783.6624552,786.62502,789.6200214,792.6474595,795.7073342,798.7996455,801.9243935,805.0815781,808.2711993,811.4415688,814.5926865,817.7245525,820.8371667,823.9305292,827.0046399,830.0594989,833.0951062,836.1114617,839.1085654,842.0864174,845.0450176,847.9843661,850.921211,853.8555524,856.7873902,859.7167245,862.6435552,865.5678824,868.489706,871.409026,874.3258425,877.2401554,880.1519648,883.0612706,885.9680728,888.8723715,891.7741667,894.6734583,897.5702463,900.4645308,903.3563117,906.2455891
10,control,SHMX,R1,G-50,T90,16460,0,18.33315425,35.49589769,51.80269851,67.25355673,83.00879219,99.06840489,115.5737563,132.5248464,147.5228355,160.5677236,174.2531222,188.5790314,203.5454511,217.3896644,230.1116713,242.9870243,256.0157235,269.1977688,282.5331602,295.8667413,309.198512,322.5284724,335.3676111,347.715928,359.5734231,370.9400965,381.9239121,392.5248699,402.7429701,412.977373,423.2280788,433.4950875,443.778399,454.1931345,464.739294,475.4168774,485.8495576,496.0373347,505.9802085,515.6781792,525.1312466,534.3394109,543.302672,552.1059646,560.7492889,569.2326447,577.5560322,585.7194512,593.7229018,601.566384,609.3890354,617.1908559,624.9718455,632.7320043,640.4713322,648.1898292,655.8874954,663.5064561,671.0467114,678.5082612,685.8911056,693.1952444,700.4206779,707.5674059,714.6509488,721.6713066,728.6284794,735.5224672,742.3532698,749.1208874,755.82532,762.4665675,769.0446299,775.5595073,782.0787024,788.6022152,795.1300458,801.6621941,808.1986602,814.739444,821.2845456,827.6396176,833.8046601,839.7796731,845.5646565,851.1596103,856.5645347,861.7794295,867.0476814,872.3692905,877.7442568,883.1725802,888.6542607,894.1892985,899.7776933,905.3676321,910.9591146,916.552141,922.1467112,927.7428252,933.3404831,938.9396847,944.5576166,950.1942785,955.8496705,961.5237926,967.2166449,972.9282273,978.6585398,984.355769,990.0199148,995.6509774,1001.248957,1006.813853,1012.345665,1017.844395,1023.310041,1028.742604,1034.169054,1039.607729,1045.052518,1050.503419,1055.960432,1061.423559,1066.892798,1072.36815,1077.849614,1083.337192,1088.830882,1094.336797,1099.951366,1105.348628,1110.637237,1115.817193,1120.888495,1125.851144,1130.596486,1135.276852,1139.892241,1144.442653,1148.928088,1153.348546,1157.704028,1161.994532,1166.22006,1170.433772,1174.635668,1178.825749,1183.004013,1187.170462,1191.325095,1195.467913,1199.598914,1203.779999,1208.011168,1212.29242,1216.623755,1221.005175,1225.436678,1229.918264,1234.36572,1238.779046,1243.158242,1247.503308,1251.814244,1256.091049,1260.333724,1264.542269,1268.716684,1272.856968,1276.963123,1281.035147,1285.073041,1289.112221,1293.152687,1297.194439,1301.237478,1305.281802,1309.327412,1313.374309,1317.422491,1321.471959,1325.522714,1329.574754,1333.628081,1337.682694,1341.738592,1345.795777,1349.854248,1353.914005,1357.975048,1362.037377,1366.100992
12,control,SHMX,R1,G-00,T90,15810,0,16.11214219,32.56239086,48.23082689,63.11745027,78.57158097,94.59321896,111.1598515,128.2714785,143.7104216,157.4766809,171.8016966,186.6854689,202.1279977,216.4026483,229.5094206,242.7068593,255.9949641,269.3737351,282.8431723,296.2123362,309.4812267,322.6498439,335.4233158,347.8016425,359.7848241,371.3728604,382.6083291,393.4912301,404.0215635,414.5919577,425.2024129,435.852929,446.543506,457.1967279,467.8125949,478.3911069,488.8176363,499.0921831,509.2147472,519.1853288,529.0039277,538.670544,548.1851777,557.4695369,566.5236217,575.347432,583.9409678,592.3042292,600.4372161,608.3399285,616.215013,624.0624696,631.8822983,639.674499,647.4390719,655.1760168,662.8853338,670.5148153,678.0644615,685.5342722,692.9242475,700.2343874,707.4646918,714.6151609,721.7013587,728.7232853,735.6809407,742.574325,749.403438,756.1682798,762.8688505,769.5051499,776.0771781,782.5849352,789.0994219,795.6206383,802.1485844,808.6832601,815.2246656,821.7728007,828.3276655,834.7120181,840.9258585,846.9691867,852.8420027,858.5443065,864.0760981,869.4373775,874.8255154,880.240512,885.6823671,891.1510808,896.646653,902.1690839,907.7183733,913.2876701,918.8769741,924.4862854,930.115604,935.7649298,941.434263,947.1236035,952.8004839,958.4649042,964.1168644,969.7563646,975.3834047,980.9979847,986.6001047,992.1773907,997.7298429,1003.257461,1008.760245,1014.238196,1019.691312,1025.119595,1030.523044,1035.901658,1041.281886,1046.658888,1052.034277,1057.408054,1062.780217,1068.150768,1073.519706,1078.887031,1084.252743,1089.616843,1094.979329,1100.33859,1105.804499,1111.057112,1116.203077,1121.242395,1126.175064,1131.001085,1135.613811,1140.182037,1144.705766,1149.184995,1153.619726,1158.009958,1162.355691,1166.656926,1170.913662,1175.136587,1179.325701,1183.481003,1187.602494,1191.690175,1195.744044,1199.764101,1203.750348,1207.774917,1211.83781,1215.939025,1220.078563,1224.256424,1228.472607,1232.727114,1236.970564,1241.202958,1245.424295,1249.634576,1253.8338,1258.021968,1262.199079,1266.365135,1270.520133,1274.664075,1278.796961,1282.918791,1287.029564,1291.128421,1295.215361,1299.290386,1303.353495,1307.404688,1311.443965,1315.471326,1319.48677,1323.490299,1327.481912,1331.461608,1335.429389,1339.385254,1343.329202,1347.261235,1351.181351,1355.089552,1358.985836,1362.870205,1366.742657
14,control,WHCL,R1,G-50,T90,14870,0,21.68577782,41.32960118,60.14190667,78.12269429,96.6071661,115.5953221,135.5062719,156.3400154,174.5893776,190.2543584,206.3719511,222.9421556,239.9649719,255.7050268,270.1623203,284.6412228,299.1417345,313.6638553,328.2075852,342.7425176,357.2686526,371.7859901,385.7936599,399.2916618,412.279996,424.7586624,436.769483,448.3124576,459.3875863,470.6198545,482.0092621,493.5558092,505.2594958,516.4319419,527.0731475,537.1831127,547.4421279,557.8501932,568.4073086,579.1134741,589.9686896,600.9729553,612.126271,622.8043436,633.0071732,642.7347598,651.9871034,660.7642039,669.0660614,676.8926758,684.5933324,692.1680312,699.6167721,706.9395551,714.1363803,721.2072477,728.1521572,735.0918071,742.0261974,748.9553281,755.8791991,762.7978105,769.7111623,776.6192545,783.4520846,790.2096527,796.8919588,803.4990028,810.0307849,816.4873049,822.8685629,829.1745588,835.4052928,841.5607647,847.6894732,853.7914185,859.8666004,865.9150189,871.9366742,877.9315661,883.8996946,889.6978739,895.3261038,900.7843845,906.0727159,911.1910979,916.1395307,920.9180141,925.7939342,930.7672908,935.8380839,941.0063136,946.2719799,951.6350827,957.0956221,962.5217885,967.913582,973.2710024,978.5940499,983.8827243,989.1370258,994.3569544,999.549997,1004.716154,1009.855424,1014.967809,1020.053308,1025.111921,1030.143649,1035.160647,1040.162916,1045.150455,1050.123266,1055.081348,1060.0247,1064.953323,1069.867218,1074.766383,1079.665889,1084.564713,1089.463197,1094.36134,1099.259143,1104.156604,1109.053726,1113.950506,1118.846946,1123.743045,1128.638804,1133.533881,1138.524481,1143.324036,1148.028068,1152.636577,1157.149563,1161.567027,1165.793445,1169.973855,1174.108257,1178.196651,1182.239038,1186.235417,1190.185787,1194.09015,1197.948505,1201.780414,1205.585876,1209.364892,1213.117461,1216.843584,1220.54326,1224.21649,1227.863274,1231.560832,1235.309165,1239.108273,1242.958155,1246.858812,1250.810244,1254.81245,1258.789104,1262.740205,1266.665755,1270.565752,1274.440196,1278.289089,1282.112429,1285.910216,1289.682452,1293.429135,1297.150266,1300.845844,1304.51587,1308.170324,1311.809204,1315.432512,1319.040247,1322.63241,1326.208999,1329.770016,1333.31546,1336.845331,1340.359629,1343.858355,1347.341508,1350.809088,1354.261095,1357.69753,1361.118392,1364.523681,1367.913397,1371.287541,1374.646112
16,control,WHCL,R1,G-00,T90,14680,0,20.67115021,41.06668525,60.47582742,78.89857673,97.79214365,117.1565282,137.5869044,159.0832723,177.6363072,193.2460092,209.5703366,226.6092897,244.3628683,260.8271824,276.0022319,291.3108316,306.7529813,322.3286812,338.0379311,353.3642074,368.3075102,382.8678393,396.7782214,410.0386563,422.649144,434.6096847,446.147729,457.2632769,467.9563286,478.7403439,489.6153229,500.5812656,511.6381719,522.7493484,533.9147952,545.1345122,556.2007892,567.1136262,577.8730232,588.4789802,598.9314971,609.2305741,619.3762111,629.2030114,638.7109752,647.9001024,656.7703931,665.3218471,673.5544646,681.4682455,689.2844606,697.0031098,704.6241933,712.147711,719.5736628,726.9020488,734.132869,741.2793953,748.3416277,755.3195661,762.2132106,769.0225612,775.7476178,782.3883805,788.9758392,795.5099939,801.9908446,808.4183913,814.792634,821.1135726,827.3812073,833.5955379,839.7565645,845.8642871,851.9634663,858.054102,864.1361943,870.2097431,876.2747484,882.3312104,888.3791288,894.2707908,900.0061962,905.5853452,911.0082376,916.2748735,921.385253,926.3393759,931.3631878,936.4566888,941.6198787,946.8527576,952.1553256,957.5275825,962.9695285,968.4048094,973.8334254,979.2553764,984.6706624,990.0792833,995.4812393,1000.87653,1006.267086,1011.652906,1017.033992,1022.410341,1027.781956,1033.148835,1038.510979,1043.821596,1049.080685,1054.288247,1059.444282,1064.548789,1069.601769,1074.603222,1079.553147,1084.451545,1089.345281,1094.248342,1099.156064,1104.068449,1108.985496,1113.907205,1118.833577,1123.76461,1128.700306,1133.640664,1138.585685,1143.54003,1148.589429,1153.448719,1158.212955,1162.882137,1167.456264,1171.935336,1176.2243,1180.461071,1184.645651,1188.778038,1192.858233,1196.886236,1200.862046,1204.785665,1208.657091,1212.514743,1216.358621,1220.188724,1224.005052,1227.807606,1231.596386,1235.371392,1239.132622,1242.940148,1246.793968,1250.694082,1254.640491,1258.633195,1262.672193,1266.757486,1270.827995,1274.883722,1278.924666,1282.950827,1286.962205,1290.9588,1294.940612,1298.907641,1302.859888,1306.797351,1310.720031,1314.627929,1318.521043,1322.391265,1326.238593,1330.063027,1333.864569,1337.643217,1341.398971,1345.131833,1348.841801,1352.528876,1356.193057,1359.834345,1363.45274,1367.048242,1370.62085,1374.170565,1377.697387,1381.201315,1384.68235,1388.140492,1391.575741
18,control,WHEA,R1,G-50,T90,15520,0,25.0532275,51.15209542,76.2856026,100.453749,125.1084047,150.2495696,175.03732,199.471656,220.9349331,239.4271512,258.4583756,278.0286062,298.1378431,317.3517766,335.6704066,354.0305468,372.4321973,390.8753579,409.3600287,427.2757832,444.6226215,461.4005434,477.4982509,492.915744,507.6530227,521.710087,535.4604984,548.904257,562.0413626,575.0024948,587.7876535,600.3968388,612.8300506,625.0058776,636.92432,648.5853775,660.1126647,671.5061815,682.7659279,693.891904,704.8841096,715.7425449,726.4672098,736.8042346,746.7536193,756.315364,765.4894685,774.275933,782.6747574,790.6859417,798.5611831,806.3004814,813.9038369,821.3712493,828.7027188,835.8982453,842.9578289,850.0247133,857.0988987,864.1803849,871.2691721,878.3652601,885.468649,892.5793388,899.6579555,906.7044989,913.7189692,920.7013663,927.6516901,934.5699408,941.4561183,948.3102226,955.1322538,961.9222117,968.5526596,975.0235975,981.3350253,987.486943,993.4793507,999.3122484,1004.985636,1010.569618,1016.064194,1021.469364,1026.785128,1032.011487,1037.14844,1042.195987,1047.267978,1052.364412,1057.48529,1062.630612,1067.800378,1072.994587,1078.21324,1083.400978,1088.5578,1093.683706,1098.778697,1103.842772,1108.875932,1113.878176,1118.928582,1124.027151,1129.173882,1134.368775,1139.611831,1144.903049,1150.24243,1155.54066,1160.797739,1166.013667,1171.188445,1176.322071,1181.414548,1186.465873,1191.476048,1196.445072,1201.405222,1206.383119,1211.36989,1216.365534,1221.370051,1226.383441,1231.405704,1236.436841,1241.476851,1246.525734,1251.583491,1256.658994,1261.856995,1266.81,1271.640507,1276.348516,1280.934027,1285.397039,1289.615056,1293.801389,1297.956038,1302.079002,1306.170283,1310.229879,1314.257792,1318.25402,1322.218564,1326.183946,1330.150165,1334.117221,1338.085116,1342.053847,1346.023416,1349.993823,1353.965067,1357.969319,1362.006578,1366.076845,1370.180119,1374.316401,1378.48569,1382.687987,1386.858595,1390.997514,1395.104745,1399.180288,1403.224141,1407.236307,1411.216783,1415.165572,1419.082671,1422.968082,1426.821805,1430.643839,1434.434184,1438.209899,1441.970983,1445.717436,1449.449258,1453.16645,1456.869011,1460.556941,1464.23024,1467.888909,1471.532947,1475.162354,1478.77713,1482.377276,1485.962791,1489.533675,1493.089929,1496.631551,1500.158543,1503.670904,1507.168635
20,control,WHEA,R1,G-00,T90,15390,0,30.18135623,60.51680093,89.26200632,116.4169724,142.9543271,168.8740703,193.797377,217.7242471,238.6847459,256.6788732,275.4525638,295.0058175,315.3386345,334.0408287,351.1124003,367.7640448,383.9957624,399.8075531,415.1994167,430.4866129,445.6691416,460.7470028,475.1284535,488.8134939,501.8021238,514.0943432,526.1663607,538.018176,549.6497894,560.9203916,571.8299826,582.3785625,592.5661313,602.6081936,612.5047494,622.2557987,632.0087691,641.7636607,651.5204734,661.2792072,671.039862,680.8024381,690.5669352,700.139989,709.5215996,718.7117669,727.710491,736.5177717,745.1336092,753.5580034,761.8441888,769.9921654,778.0019332,785.8734921,793.6068422,801.2019834,808.6589159,816.0259095,823.3029644,830.4900804,837.5872577,844.5944962,851.5117959,858.3391568,865.1190652,871.8515213,878.5365249,885.1740761,891.7641748,898.3068212,904.8020151,911.2497566,917.6500456,924.0028823,930.2458324,936.378896,942.4020731,948.3153636,954.1187677,959.8122852,965.3959162,970.8510225,976.1776041,981.3756611,986.4451933,991.3862009,996.1986838,1000.882642,1005.599782,1010.350104,1015.133609,1019.950295,1024.800163,1029.683213,1034.599446,1039.509864,1044.414467,1049.313255,1054.20623,1059.093389,1063.974734,1068.850265,1073.74806,1078.668119,1083.610442,1088.57503,1093.561882,1098.570998,1103.602379,1108.570507,1113.475381,1118.317003,1123.095372,1127.810488,1132.462351,1137.05096,1141.576317,1146.038421,1150.498799,1154.962629,1159.428185,1163.895467,1168.364476,1172.83521,1177.307671,1181.781858,1186.25777,1190.735409,1195.214774,1199.697592,1204.232632,1208.663226,1213.041596,1217.367743,1221.641666,1225.863366,1229.980619,1234.078736,1238.157717,1242.217562,1246.258271,1250.279844,1254.282281,1258.265583,1262.229748,1266.151835,1270.031843,1273.869773,1277.665624,1281.419397,1285.131091,1288.800706,1292.428243,1296.129189,1299.903543,1303.751306,1307.672478,1311.667059,1315.735048,1319.876447,1323.987853,1328.069267,1332.120689,1336.142118,1340.133556,1344.095001,1348.026454,1351.927915,1355.799383,1359.64086,1363.452344,1367.233836,1370.985336,1374.697408,1378.370052,1382.003269,1385.597058,1389.15142,1392.666354,1396.14186,1399.577939,1402.97459,1406.331813,1409.649608,1412.927976,1416.166917,1419.366429,1422.526514,1425.647171,1428.728401,1431.770203,1434.772577,1437.735524
