"","CAP1","CAP2","CAP3","MDS1","MDS2","MDS3"
"maom.cn",0.794110535584144,0.491274821514812,0.357823290214393,0,0,0
"bulk.soil.C.g.kg",-0.979116369724218,-0.0332502113036781,0.200563102255449,0,0,0
"co2",-0.839456625540547,0.52690537714908,-0.132978559803691,0,0,0
