"","CAP1","CAP2",""
"X13co2",0.93,-0.38,0.35
"X13soc",0.63,-0.78,0.02
"pom.cn",1,-0.08,0.18
"maom.cn",0.94,0.35,0.74
"bulk.soil.C.g.kg",-1,0.05,0.85
"co2",-0.74,0.67,0.47
