"","CAP1","CAP2","CAP3","CAP4","MDS1","MDS2"
"Wooliver_ITS_1A10_Beever240927_S237",-0.390003455648047,-0.707964371666818,-0.319996183068284,-0.41092055111036,0.119324113261532,0.20637898523601
"Wooliver_ITS_1A6_Beever240927_S205",-0.330029495243711,-0.059724490665943,-0.090720390828901,0.250312752468066,-0.985363498566006,-0.518711092145662
"Wooliver_ITS_1A7_Beever240927_S213",-0.361378889231196,-0.0670031333582142,0.0499628114755617,0.269241760136585,0.608539185885189,0.250935947758602
"Wooliver_ITS_1A8_Beever240927_S221",1.33157026524902,-0.213789892021946,-1.38832144268175,-0.079916969654806,-0.689573116077236,0.413805263192561
"Wooliver_ITS_1A9_Beever240927_S229",-0.063579550022069,1.80092618288991,0.185786891232137,-0.76265981994928,-0.380501107051435,-1.0945074000832
"Wooliver_ITS_1B10_Beever240927_S238",-0.368898956784619,-0.492309641495812,0.0367527517343135,-0.386145803348451,1.15344385881852,-0.257396890547247
"Wooliver_ITS_1B6_Beever240927_S206",1.27467209557034,-0.202391981122553,1.62950499897475,3.02853334868316,-1.07106598239067,0.673826786209462
"Wooliver_ITS_1B7_Beever240927_S214",0.107938972169761,2.15538909637536,-0.343934292178067,1.07906990560899,-1.21616242315367,0.082521701532391
"Wooliver_ITS_1B8_Beever240927_S222",-0.408549420626509,-0.643833026675334,-0.207462307896746,-0.0070338915666667,0.587001031274813,0.365958631381118
"Wooliver_ITS_1B9_Beever240927_S230",-0.366354926083422,-0.423247711846773,0.149398071746455,-0.169917716036956,-1.21941367408629,0.631468575803618
"Wooliver_ITS_1C10_Beever240927_S239",-0.1873037811369,1.10185024431264,0.479484800384234,-0.643026981391114,-0.22093498154652,-1.06383149883248
"Wooliver_ITS_1C6_Beever240927_S207",-0.397018202178497,-0.559477536669999,0.0803296480391605,0.0624336272132164,-0.433440354026559,0.308980777280117
"Wooliver_ITS_1C7_Beever240927_S215",-0.351541483438216,-0.34797571695741,-0.160244677662211,-0.0327578325880568,-0.089884856704742,-0.781579624158107
"Wooliver_ITS_1C8_Beever240927_S223",-0.377259194858642,-0.361512404123351,0.100229144260922,0.0467874522713645,0.926641104163889,0.353830076722786
"Wooliver_ITS_1C9_Beever240927_S231",1.30028528517815,-0.135847270159276,-0.956571422638065,-2.18931056682194,-0.00247631348368564,0.313247532247875
"Wooliver_ITS_1D10_Beever240927_S240",-0.374612596401432,-0.499815092895491,-0.0914275655092601,0.0275808540035068,-0.136963814833191,-0.0764335655305198
"Wooliver_ITS_1D6_Beever240927_S208",-0.384024964896326,-0.190454754923364,0.226242461595536,0.186053340084373,0.226786743368338,-0.251978652051265
"Wooliver_ITS_1D7_Beever240927_S216",1.22240125759868,-0.257962807083732,-2.01869205510862,0.89510202040334,0.901036424685976,-0.596741989140351
"Wooliver_ITS_1D8_Beever240927_S224",-0.102053752843535,1.57664061511308,-0.379764554491649,-1.08852324957182,-2.04819022755253,1.19912961801188
"Wooliver_ITS_1D9_Beever240927_S232",-0.412822197423046,-0.678746056244991,-0.0854132114774755,-0.29343968423783,0.813755414436236,0.648362503850408
"Wooliver_ITS_1E10_Beever240927_S241",1.07676126879276,-0.498945920442854,1.2297741019493,0.854493541487638,-0.121781177114483,-0.665677789180107
"Wooliver_ITS_1E6_Beever240927_S209",-0.044498341559105,1.90031301820056,0.180869266645509,0.797635496563551,-0.858791198831342,-1.35261885451787
"Wooliver_ITS_1E7_Beever240927_S217",-0.396748068843379,-0.651636863074096,-0.0682073460651708,-0.396495596592267,-0.395075924390042,-0.0733092660236517
"Wooliver_ITS_1E8_Beever240927_S225",-0.363468447541396,-0.355087867803586,-0.0038893763090177,0.0433377227021071,0.362238687836862,-0.659360701183062
