"","CAP1","CAP2",""
"CUE",-0.94,-0.35,0.01
"X13co2",0.99,-0.13,0.3
"X13mbc",0.69,-0.72,0.01
"maom.cn",0.88,0.47,0.79
"bulk.soil.C.g.kg",-1,-0.03,0.86
"co2",-0.69,0.72,0.59
