"","CAP1","CAP2","CAP3","CAP4","CAP5","CAP6"
"Wooliver_ITS_1A1_Beever240927_S165",-0.296248004234474,0.120405918246055,2.17299058089264,-0.961134541129155,-0.271730685437408,0.590518842224837
"Wooliver_ITS_1A11_Beever240927_S245",-0.319128452010293,0.0200265954997475,1.49976511490796,-0.108947636682443,-0.129063775464763,-1.1929117481998
"Wooliver_ITS_1A12_Beever240927_S253",-0.397597038490169,-0.16720494118335,-0.163489621316094,0.253263100002617,0.008877354145577,0.308073534222343
"Wooliver_ITS_1A2_Beever240927_S173",-0.375924319073777,-0.136311979176087,-0.487975521068572,0.299473683073066,0.000950759459594259,0.0280671964971745
"Wooliver_ITS_1A3_Beever240927_S181",1.30415449675277,-0.256952947869259,0.961661774910322,0.280855202432384,1.77757021207573,1.25945257402259
"Wooliver_ITS_1A4_Beever240927_S189",-0.159448976360757,1.24074243601171,-0.109022908033944,-0.0215414034686347,0.0429380265615944,0.595015994785222
"Wooliver_ITS_1A5_Beever240927_S197",-0.415427120978013,-0.808544406268264,-0.93070220157712,0.226194138109174,-0.10407947425666,-0.207612203048047
"Wooliver_ITS_1B1_Beever240927_S166",1.24386422330649,-0.632291928102717,-0.804069174905514,-0.09266989012803,-0.839816601426414,1.14495452813276
"Wooliver_ITS_1B11_Beever240927_S246",1.27730217706598,-0.0321766896360897,-1.04574362538469,0.236940869084209,-3.17223053573534,0.959542247875775
"Wooliver_ITS_1B12_Beever240927_S254",-0.0408387586694115,1.82666712490089,0.11429711983327,0.747302308386393,-0.680140532066613,0.539206484711431
"Wooliver_ITS_1B2_Beever240927_S174",-0.0663565523825823,1.72650139275026,-0.0757588689527833,0.274412720192209,-0.45156344513317,0.982806075014277
"Wooliver_ITS_1B3_Beever240927_S182",-0.420661809082072,-0.455123540270048,-0.359887101547147,-0.00581210267559565,-0.0437676115549176,0.613333949443364
"Wooliver_ITS_1B4_Beever240927_S190",-0.375749521050621,-0.295028828822011,0.996799365149912,-0.300274101682753,0.0751097247808992,0.264745868019098
"Wooliver_ITS_1B5_Beever240927_S198",-0.376697699952608,-0.352837413957625,-0.402272341243682,0.425544226905364,0.226824351551221,0.336342244952949
"Wooliver_ITS_1C1_Beever240927_S167",-0.400906399304152,-0.440014850661778,-0.336082502222335,0.255587673270046,-0.220336206778855,0.754718075534445
"Wooliver_ITS_1C11_Beever240927_S247",-0.428987832552957,-0.706257444943466,-0.920977391792238,0.444617904894938,-0.411123962685736,0.113219089959911
"Wooliver_ITS_1C12_Beever240927_S255",-0.375239850785282,-0.137764526009514,1.06054862932563,0.0626157491391101,0.0324439102743604,-0.73707863992321
"Wooliver_ITS_1C2_Beever240927_S175",-0.378947753649651,-0.346918106120116,0.808876345954943,0.100971835354057,0.066450371037288,-0.710661081169985
"Wooliver_ITS_1C3_Beever240927_S183",-0.385811164762876,-0.216764982017024,-0.541555191681973,0.315123458328509,0.172939078861166,0.473001216886297
"Wooliver_ITS_1C4_Beever240927_S191",1.24620844865182,-0.306815230427554,-0.0454790423093876,-1.5939173750971,1.85041343733142,4.07845451662221
"Wooliver_ITS_1C5_Beever240927_S199",-0.156101226823826,1.2447981656398,-0.0883610252420241,0.238952313111629,0.487272459556622,0.216886115046201
"Wooliver_ITS_1D1_Beever240927_S168",-0.386926347869299,-0.272771058809331,-0.215934633082868,0.311631284541416,-0.146398417804831,0.381230795519972
"Wooliver_ITS_1D11_Beever240927_S248",-0.396112662453833,-0.358891779811283,-0.527666867819335,0.211761071746731,-0.176766411532768,-0.407365261698299
"Wooliver_ITS_1D12_Beever240927_S256",1.23783751224315,-0.243068142158024,-0.0257804688110699,0.726968877474657,-1.2113883978043,-2.2692768570972
"Wooliver_ITS_1D2_Beever240927_S176",1.29931469309462,-0.229184806789349,-0.237965043686727,1.35301503613761,0.2818869021704,2.12377239274901
"Wooliver_ITS_1D3_Beever240927_S184",-0.0513404270347893,1.88104885822758,-0.207229520974482,0.124241905299725,-0.243784035338894,-0.0197769176122604
"Wooliver_ITS_1D4_Beever240927_S192",-0.420206422039006,-0.539244450542423,-0.653681729339786,0.0629510850078898,-0.024391786545637,0.540719740766095
"Wooliver_ITS_1D5_Beever240927_S200",-0.369101689980579,-0.384991952047754,0.882991580761018,-0.292203880869312,0.465696885908729,0.108330302801809
"Wooliver_ITS_1E1_Beever240927_S169",-0.0814040888035422,1.62815729717175,0.240310269596746,0.354858786944615,-0.588353596389759,1.22427842919199
"Wooliver_ITS_1E11_Beever240927_S249",-0.0650719079572195,1.70118462986353,-0.00790168517251956,-0.0953395685629681,-0.124556042282874,-0.152180622947258
"Wooliver_ITS_1E12_Beever240927_S257",-0.428307648313028,-0.653347317241037,-0.520017051761831,0.377035780672829,-0.178382278974262,0.206689748159281
"Wooliver_ITS_1E2_Beever240927_S177",-0.416309126806316,-0.79039655491027,-0.93508194882135,0.413845072829991,-0.199317141058774,0.254438203349233
"Wooliver_ITS_1E3_Beever240927_S185",-0.374680635496558,-0.247043946185748,0.978528705654535,-0.0253157955712743,0.20163646721727,-0.472361201327144
"Wooliver_ITS_1E4_Beever240927_S193",-0.385497851729532,-0.402517514428341,-0.124974741792588,0.0897946695576944,0.00456078967279479,0.0709065407797158
"Wooliver_ITS_1E5_Beever240927_S201",1.25542747551605,-0.411934532598012,1.32332664944698,-1.68779818962249,2.84701828298764,0.198033406758839
"Wooliver_ITS_1F1_Beever240927_S170",-0.36808860090736,-0.0332909437754261,1.03342815997734,-0.150779219844727,0.161370576409977,0.319726540833036
"Wooliver_ITS_1F11_Beever240927_S250",-0.381638222068041,-0.245401674294689,0.903858567577678,-0.0968787439430247,0.183580645256514,-0.197504102216225
"Wooliver_ITS_1F12_Beever240927_S258",-0.376065366241488,-0.459906038030509,-0.899383883508269,0.671650504170709,0.0702634559766131,-0.388556476937819
"Wooliver_ITS_1F2_Beever240927_S178",-0.382030030026498,-0.454507252069431,-0.519509485185197,0.442790834779988,-0.0701713503891631,-0.164194463351918
"Wooliver_ITS_1F3_Beever240927_S186",1.23802239272616,-0.433259692065765,-0.963105717173732,1.06019083899635,0.344473975331422,0.936266969412039
