"","CAP1","CAP2","CAP3","CAP4","MDS1","MDS2","MDS3","MDS4","MDS5","MDS6","MDS7","MDS8","MDS9","MDS10","MDS11","MDS12","MDS13","MDS14","MDS15","MDS16","MDS17","MDS18","MDS19","MDS20","MDS21","MDS22","MDS23","MDS24","MDS25","MDS26","MDS27","MDS28","MDS29","MDS30","MDS31","MDS32","MDS33","MDS34","MDS35","MDS36","MDS37","MDS38","MDS39","MDS40","MDS41","MDS42","MDS43","MDS44","MDS45","MDS46","MDS47","MDS48","MDS49","MDS50","MDS51","MDS52","MDS53","MDS54","MDS55","MDS56","MDS57","MDS58","MDS59","MDS60","MDS61","MDS62","MDS63","MDS64","MDS65","MDS66","MDS67","MDS68","MDS69","MDS70","MDS71","MDS72","MDS73","MDS74","MDS75"
"Eigenvalue",5.59801593897222,0.597843191590921,0.0681027460637114,0.0328107571229625,0.66516564792927,0.517159174130025,0.412629853108763,0.279721388734582,0.219007745062797,0.21221710323345,0.181221329891302,0.173552706942178,0.150612668663704,0.144595442457309,0.140408278688739,0.135675701483936,0.130728487935905,0.121498526934566,0.110122610666275,0.107245160831391,0.0951362088904098,0.0835918702233393,0.0616097260194192,0.0565610678207455,0.0546780267564238,0.0421113676647623,0.0402823706484855,0.0335389290194973,0.0323218797743073,0.0295352107885392,0.0284938701528715,0.0266445272333635,0.0237142401190104,0.0224186821991007,0.0191819817377282,0.0186907550227596,0.0169319333740308,0.0163406297059491,0.0156011980686117,0.0141410934626775,0.0137764040202388,0.0122723473407284,0.0117297228170607,0.0105639955139369,0.00946252210563206,0.00851428491605575,0.00829763884264454,0.00753699498055171,0.00733287340226794,0.00691517308320804,0.00659671613287632,0.005909132725267,0.00540267755290063,0.0052670166214661,0.00479647673358626,0.00462735606650866,0.00442204850964687,0.00425716495118803,0.00400780861639728,0.0037419737031309,0.00352749120030864,0.00321792093976232,0.00290993075028694,0.00264437900389231,0.00258190493713151,0.00225124140660829,0.00215712873229432,0.0020489859891993,0.00169319685823715,0.00147894373869434,0.00136837881041939,0.000986949473794857,0.000600253177015365,0.000480788517659277,0.0003088758744227,0.000224470615078903,0.000127874128139767,5.00216653077144e-05,4.66664604800561e-06
"Proportion Explained",0.513393220667545,0.0548281114114474,0.00624569285245228,0.00300906972319035,0.0610022440076365,0.0474285920045321,0.0378422233056337,0.0256532075323835,0.0200851681764896,0.0194623994103455,0.0166197815834787,0.015916493297619,0.0138126657518573,0.0132608268190526,0.0128768226439942,0.0124427986826981,0.0119890904538465,0.0111426120842291,0.0100993284718401,0.00983543796953625,0.00872492776312371,0.00766619815724618,0.00565021893656162,0.00518720723367916,0.00501451381386749,0.00386202735180078,0.00369429030370832,0.00307585026101608,0.00296423485325184,0.00270866984930502,0.0026131686523478,0.00244356568445427,0.00217482948300027,0.00205601405619285,0.00175917673162723,0.00171412640164872,0.00155282512622104,0.00149859675355143,0.00143078358654824,0.00129687760730058,0.00126343199202577,0.00112549517455717,0.00107573115908169,0.000968822479096636,0.000867806514380913,0.000780843820808679,0.000760975241192956,0.000691216704168759,0.000672496744164128,0.000634189509169832,0.000604983868964959,0.000541925695505217,0.000495478765932408,0.000483037321808774,0.000439884177708308,0.000424374146136594,0.000405545420210528,0.000390423973248758,0.000367555540359734,0.000343175859455724,0.000323505700581368,0.000295115057393249,0.000266869322291287,0.000242515610579551,0.000236786123080376,0.000206461019196555,0.000197829959639308,0.000187912204532029,0.00015528283551728,0.000135633713349839,0.000125493819994985,9.05129914797469e-05,5.50491308212357e-05,4.40930444343088e-05,2.83269611385722e-05,2.05861671843937e-05,1.17273175356093e-05,4.58747958838367e-06,4.27977424576775e-07
"Cumulative Proportion",0.513393220667545,0.568221332078992,0.574467024931444,0.577476094654635,0.638478338662271,0.685906930666803,0.723749153972437,0.74940236150482,0.76948752968131,0.788949929091655,0.805569710675134,0.821486203972753,0.83529886972461,0.848559696543663,0.861436519187657,0.873879317870355,0.885868408324202,0.897011020408431,0.907110348880271,0.916945786849807,0.925670714612931,0.933336912770177,0.938987131706739,0.944174338940418,0.949188852754285,0.953050880106086,0.956745170409794,0.959821020670811,0.962785255524062,0.965493925373367,0.968107094025715,0.97055065971017,0.97272548919317,0.974781503249363,0.97654067998099,0.978254806382639,0.97980763150886,0.981306228262411,0.982737011848959,0.98403388945626,0.985297321448286,0.986422816622843,0.987498547781924,0.988467370261021,0.989335176775402,0.990116020596211,0.990876995837404,0.991568212541572,0.992240709285737,0.992874898794906,0.993479882663871,0.994021808359377,0.994517287125309,0.995000324447118,0.995440208624826,0.995864582770963,0.996270128191173,0.996660552164422,0.997028107704782,0.997371283564237,0.997694789264819,0.997989904322212,0.998256773644503,0.998499289255083,0.998736075378163,0.99894253639736,0.999140366356999,0.999328278561531,0.999483561397048,0.999619195110398,0.999744688930393,0.999835201921873,0.999890251052694,0.999934344097128,0.999962671058267,0.999983257225451,0.999994984542987,0.999999572022576,1
