"","CAP1","CAP2","CAP3","CAP4","CAP5","CAP6"
"X13co2",0.563472610985801,-0.345789489787265,-0.584044252129145,0.433427316650878,-0.182987445228751,0.0218383388994471
"X13soc",0.0919531682202841,-0.162964887224635,-0.485656312553357,-0.796082284668736,0.308489951192707,0.0145585889740576
"pom.cn",0.447775987562355,-0.0647069085085925,0.138726812623101,-0.469724894889695,-0.742881463468529,0.0595836115804857
"maom.cn",0.827964705017977,0.433122698987227,-0.0745797966706789,-0.040055150408343,0.158096861357811,0.307762889493923
"bulk.soil.C.g.kg",-0.967900572329589,0.0986088102001118,-0.0637636387212872,-0.0708969244344835,-0.0449714195942195,0.205742996326498
"co2",-0.495989279420058,0.652234899302418,-0.238731627643286,-0.0731244346777694,-0.21992836690527,-0.466771690742445
