"","CAP1","CAP2","CAP3","MDS1","MDS2","MDS3"
"Wooliver_16S_1A10_Beever240927_S73",-0.401823380020311,-0.401247702839556,1.54347122691044,-0.474297421871445,1.14946000508092,-0.263223238520712
"Wooliver_16S_1A6_Beever240927_S41",-0.326824837915209,-0.929043402827762,-0.135738066076529,0.0911137714646385,0.900766330462403,0.676461887070429
"Wooliver_16S_1A7_Beever240927_S49",-0.339048272734985,0.463873632690363,-0.613891041660271,-0.437346472309682,-0.0228056639682264,0.125670802206837
"Wooliver_16S_1A8_Beever240927_S57",1.306902183382,-0.258895968230589,-0.010950776163621,0.620294529168698,0.539784957057061,-0.0632309648157081
"Wooliver_16S_1A9_Beever240927_S65",-0.218371817980115,1.15303423758397,1.54498228243365,-0.688975697641662,0.754611384832487,0.0617805201715083
"Wooliver_16S_1B10_Beever240927_S74",-0.296674823093078,0.431479775609885,1.89705107653389,-1.00025738009332,0.29573980561359,0.54639005691576
"Wooliver_16S_1B6_Beever240927_S42",1.3244137193892,-0.264002417500703,-0.936260064718104,0.558578221562313,0.12558777954078,-0.512135254229744
"Wooliver_16S_1B7_Beever240927_S50",-0.085218757490314,1.22984957403466,-0.299031193158932,1.02534835268143,0.240252754149714,-0.305790819552273
"Wooliver_16S_1B8_Beever240927_S58",-0.401671251206594,-0.56601455676551,-0.440577082344765,0.205200516087833,-0.564147643532911,-0.575342656015294
"Wooliver_16S_1B9_Beever240927_S66",-0.333012884037461,-0.855514478876844,1.20041369435959,1.53302643557135,1.27459437566892,0.464691916026279
"Wooliver_16S_1C10_Beever240927_S75",-0.286707744145652,1.16429700904977,1.30281674152327,-1.17410624505993,0.475389520231574,-0.20433430102617
"Wooliver_16S_1C6_Beever240927_S43",-0.467823460384515,-0.631511508012924,0.243994899534952,-0.446372259248622,0.54403225336559,-0.447191664418878
"Wooliver_16S_1C7_Beever240927_S51",-0.365550889175617,-0.996040473734145,-0.242821378766809,-0.457962805026464,0.36767165895073,0.950129693228712
"Wooliver_16S_1C8_Beever240927_S59",-0.269797555794667,0.547805382803828,-0.727295000596575,-0.0498020255952805,-0.108250865249343,0.046001603953808
"Wooliver_16S_1C9_Beever240927_S67",1.32674811216357,-0.194074590696397,0.40030246969647,0.569211514754482,0.00619292412131292,0.0475775404984021
"Wooliver_16S_1D10_Beever240927_S76",-0.321393972979355,-0.674821769325477,0.11996985865578,0.240484749359594,-0.163847831690152,0.851304559918933
"Wooliver_16S_1D6_Beever240927_S44",-0.307662167370464,0.305228442246258,-0.279818585431884,-0.535207321565257,0.432978436329461,-0.122001866346101
"Wooliver_16S_1D7_Beever240927_S52",1.30945851024707,-0.302771842251202,-1.31855122969545,-0.211327942316163,-0.432526457503669,-0.195764077123139
"Wooliver_16S_1D8_Beever240927_S60",-0.226743052826755,1.33750859228478,0.72170020757752,1.98437048811366,1.07747178917355,-1.40588080679089
"Wooliver_16S_1D9_Beever240927_S68",-0.417469280129483,-0.426510372118671,0.146945485804465,-0.104646114671165,0.376466390085001,0.393913706321172
"Wooliver_16S_1E10_Beever240927_S77",1.21661707599628,-0.214951148041509,-0.284399903499604,-0.222166998388774,-0.28541323589088,0.805536704332974
"Wooliver_16S_1E6_Beever240927_S45",-0.20127122175093,0.943158616410591,0.113752311876272,-0.933740108837388,0.0522271632394296,-0.250677045712431
"Wooliver_16S_1E7_Beever240927_S53",-0.481282865144171,-0.685579332318957,0.702192361276554,-0.414102787253883,0.328989399174283,-0.766216913806699
"Wooliver_16S_1E8_Beever240927_S61",-0.343411690509835,-0.928770143624394,0.235759852367742,-0.280659335103473,-0.0665178169124776,1.08298030542956
"Wooliver_16S_1E9_Beever240927_S69",-0.267302921479281,0.633965632772761,-0.120186539391168,0.101157075473179,0.410218590598062,0.00527913415891525
"Wooliver_16S_1F10_Beever240927_S78",-0.389097262621224,-0.427479159136296,0.392150560487675,-0.333623372616556,0.431769587446723,0.234585501770495
"Wooliver_16S_1F6_Beever240927_S46",-0.304032197548765,-0.908105911366157,-1.23121209130024,0.82246821318568,-0.61088226325166,0.685998284400625
