"","CAP1","CAP2","CAP3","CAP4","MDS1","MDS2"
"X13maoc",0.589342019301748,0.0619010038459476,-0.787319350692468,-0.170213072451538,0,0
"maom.cn",0.807159724139605,0.40628985222767,0.27105964390141,-0.331584687752219,0,0
"bulk.soil.C.g.kg",-0.972151065069968,0.0174908718096071,-0.0686109757207073,-0.223403021683506,0,0
"co2",-0.807450811228454,0.58185297737477,-0.038009236577472,0.0895857025502661,0,0
