"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"response","bulk.soil.C.g.kg_24 hr","bulk.soil.C.g.kg_6 mo","bulk.soil.N.g.kg_24 hr","bulk.soil.N.g.kg_6 mo","bulk.soil.cn_24 hr","bulk.soil.cn_6 mo","maom.c.g.kg_24 hr","maom.c.g.kg_6 mo","maom.n.g.kg_24 hr","maom.n.g.kg_6 mo","maom.cn_24 hr","maom.cn_6 mo","pom.c.g.kg_24 hr","pom.c.g.kg_6 mo","pom.n.g.kg_24 hr","pom.n.g.kg_6 mo","pom.cn_24 hr","pom.cn_6 mo","mbc_24 hr","mbc_6 mo","doc_24 hr","doc_6 mo","co2_24 hr","co2_6 mo","m1_2pool","m2_2pool","k1_2pool","k2_2pool"
"shapiro","0.02","0","0.826","0.103","0.003","0","0.051","0.338","0.315","0.301","0.897","0.127","0.837","0.449","0.629","0.564","0","0","0.322","0.427","0.844","0.484","0","0.267","0","0","0.015","0"
"var","5.298","3.744","4.198","2.379","3.82","12.264","2.8","3.412","3.153","4.354","2.655","2.198","4.166","3.607","3.28","3.299","7.907","7.246","2.173","2.018","3.152","4.066","1.537","2.438","9.784","9.537","4.335","4.769"
"Moisture.treatment","F=3.118, Df=1, P=0.082","F=0.04, Df=1, P=0.842","F=0.08, Df=1, P=0.778","F=0.137, Df=1, P=0.712","F=12.257, Df=1, P=0.001","F=0.48, Df=1, P=0.491","F=0.93, Df=1, P=0.338","F=0.377, Df=1, P=0.541","F=1.225, Df=1, P=0.272","F=0.062, Df=1, P=0.805","F=1.04, Df=1, P=0.312","F=0.063, Df=1, P=0.802","F=1.082, Df=1, P=0.302","F=0.824, Df=1, P=0.367","F=1.043, Df=1, P=0.311","F=0.085, Df=1, P=0.772","F=0.012, Df=1, P=0.912","F=3.182, Df=1, P=0.079","F=0.82, Df=1, P=0.368","F=0.684, Df=1, P=0.411","F=0.043, Df=1, P=0.836","F=8.826, Df=1, P=0.004","F=0.017, Df=1, P=0.897","F=1.26, Df=1, P=0.266","F=2.848, Df=1, P=0.096","F=1.07, Df=1, P=0.305","F=2.065, Df=1, P=0.155","F=1.339, Df=1, P=0.251"
"Residue.type","F=103.22, Df=4, P=0","F=94.737, Df=4, P=0","F=443.224, Df=4, P=0","F=654.513, Df=4, P=0","F=300.711, Df=4, P=0","F=161.803, Df=4, P=0","F=2.749, Df=4, P=0.035","F=5.642, Df=4, P=0.001","F=8.527, Df=4, P=0","F=10.48, Df=4, P=0","F=39.586, Df=4, P=0","F=35.152, Df=4, P=0","F=6.186, Df=4, P=0","F=2.299, Df=4, P=0.068","F=9.464, Df=4, P=0","F=2.806, Df=4, P=0.032","F=2.062, Df=4, P=0.096","F=1.228, Df=4, P=0.307","F=2.941, Df=4, P=0.027","F=2.087, Df=4, P=0.092","F=9.985, Df=4, P=0","F=14.548, Df=4, P=0","F=7.089, Df=4, P=0","F=181.556, Df=4, P=0","F=7.597, Df=4, P=0","F=4.333, Df=4, P=0.004","F=18.794, Df=4, P=0","F=4.212, Df=4, P=0.004"
"Moisture.treatment_Residue.type","F=0.27, Df=4, P=0.897","F=1.329, Df=4, P=0.268","F=0.735, Df=4, P=0.571","F=1.563, Df=4, P=0.194","F=1.308, Df=4, P=0.276","F=1.329, Df=4, P=0.268","F=0.381, Df=4, P=0.821","F=1.08, Df=4, P=0.374","F=0.394, Df=4, P=0.812","F=0.867, Df=4, P=0.488","F=1.303, Df=4, P=0.278","F=0.279, Df=4, P=0.89","F=0.494, Df=4, P=0.74","F=2.151, Df=4, P=0.084","F=0.457, Df=4, P=0.767","F=1.263, Df=4, P=0.293","F=0.498, Df=4, P=0.737","F=0.384, Df=4, P=0.819","F=0.503, Df=4, P=0.734","F=1.118, Df=4, P=0.356","F=3.651, Df=4, P=0.009","F=1.79, Df=4, P=0.141","F=0.547, Df=4, P=0.702","F=8.612, Df=4, P=0","F=1.817, Df=4, P=0.136","F=3.653, Df=4, P=0.009","F=1.801, Df=4, P=0.139","F=1.233, Df=4, P=0.305"
