"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"response","CUE_24 hr","CUE_6 mo","X13maoc_24 hr","X13maoc_6 mo","X13co2_24 hr","X13co2_6 mo","X13poc_24 hr","X13poc_6 mo","X13mbc_24 hr","X13mbc_6 mo","X13doc_24 hr","X13doc_6 mo","X13soc_24 hr","X13soc_6 mo","co2.native_24 hr","co2.native_6 mo","m1_3pool","m2_3pool","m3_3pool","k1_3pool","k2_3pool","k3_3pool"
"shapiro","0.342","0.496","0.67","0.581","0.038","0.021","0.111","0.543","0.188","0.397","0.059","0.354","0.012","0.091","0","0.517","0.144","0.419","0.102","0.379","0.283","0.173"
"var","2.93","4.43","3.057","2.678","7.965","5.931","6.965","5.134","2.494","6.531","9.982","9.966","11.67","9.212","24.289","4.345","7.666","5.153","11.442","4.684","4.159","4.453"
"Moisture.treatment","Chi-square=0.451, Df=1, P=0.502","Chi-square=0.005, Df=1, P=0.942","Chi-square=1.185, Df=1, P=0.276","Chi-square=0.596, Df=1, P=0.44","Chi-square=15.524, Df=1, P=0","Chi-square=2.111, Df=1, P=0.146","Chi-square=1.457, Df=1, P=0.227","Chi-square=1.396, Df=1, P=0.237","Chi-square=0.013, Df=1, P=0.91","Chi-square=0.047, Df=1, P=0.828","Chi-square=7.159, Df=1, P=0.007","Chi-square=0.037, Df=1, P=0.847","Chi-square=0.17, Df=1, P=0.68","Chi-square=4.174, Df=1, P=0.041","Chi-square=0.789, Df=1, P=0.375","Chi-square=0.132, Df=1, P=0.716","Chi-square=6.294, Df=1, P=0.012","Chi-square=19.037, Df=1, P=0","Chi-square=0, Df=1, P=0.994","Chi-square=52.763, Df=1, P=0","Chi-square=35.187, Df=1, P=0","Chi-square=17.341, Df=1, P=0"
"Residue.type","Chi-square=0.787, Df=4, P=0.94","Chi-square=29.883, Df=4, P=0","Chi-square=1.504, Df=4, P=0.826","Chi-square=25.062, Df=4, P=0","Chi-square=41.294, Df=4, P=0","Chi-square=25.812, Df=4, P=0","Chi-square=0.208, Df=4, P=0.995","Chi-square=11.786, Df=4, P=0.019","Chi-square=0.636, Df=4, P=0.959","Chi-square=26.665, Df=4, P=0","Chi-square=27.409, Df=4, P=0","Chi-square=17.913, Df=4, P=0.001","Chi-square=3.251, Df=4, P=0.517","Chi-square=7.051, Df=4, P=0.133","Chi-square=9.887, Df=4, P=0.042","Chi-square=14.893, Df=4, P=0.005","Chi-square=26.907, Df=4, P=0","Chi-square=369.349, Df=4, P=0","Chi-square=64.579, Df=4, P=0","Chi-square=150.392, Df=4, P=0","Chi-square=82.083, Df=4, P=0","Chi-square=182.069, Df=4, P=0"
"Moisture.treatment_Residue.type","Chi-square=0.934, Df=4, P=0.92","Chi-square=22.071, Df=4, P=0","Chi-square=1.131, Df=4, P=0.889","Chi-square=5.858, Df=4, P=0.21","Chi-square=18.644, Df=4, P=0.001","Chi-square=15.944, Df=4, P=0.003","Chi-square=1.495, Df=4, P=0.828","Chi-square=7.161, Df=4, P=0.128","Chi-square=0.279, Df=4, P=0.991","Chi-square=18.916, Df=4, P=0.001","Chi-square=5.552, Df=4, P=0.235","Chi-square=0.426, Df=4, P=0.98","Chi-square=0.505, Df=4, P=0.973","Chi-square=4.153, Df=4, P=0.386","Chi-square=2.056, Df=4, P=0.725","Chi-square=7.406, Df=4, P=0.116","Chi-square=24.064, Df=4, P=0","Chi-square=25.495, Df=4, P=0","Chi-square=29.52, Df=4, P=0","Chi-square=49.241, Df=4, P=0","Chi-square=23.99, Df=4, P=0","Chi-square=15.106, Df=4, P=0.004"
