"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"response","CUE_24 hr","CUE_6 mo","X13maoc_24 hr","X13maoc_6 mo","X13co2_24 hr","X13co2_6 mo","X13poc_24 hr","X13poc_6 mo","X13mbc_24 hr","X13mbc_6 mo","X13doc_24 hr","X13doc_6 mo","X13soc_24 hr","X13soc_6 mo","co2.native_24 hr","co2.native_6 mo","m1_3pool","m2_3pool","m3_3pool","k1_3pool","k2_3pool","k3_3pool","maom.cn.change_24 hr","maom.cn.change_6 mo","pom.cn.change_24 hr","pom.cn.change_6 mo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shapiro","0.49","0.531","0.67","0.315","0.002","0","0.111","0.071","0.38","0.654","0.027","0.14","0.011","0.065","0","0.143","0","0.419","0.016","0.421","0.07","0.067","0.622","0.202","0","0.091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"var","2.93","4.43","3.057","2.678","7.965","5.931","6.965","5.134","2.494","6.531","9.982","9.966","11.67","9.212","24.289","4.345","7.666","5.153","11.442","4.684","4.159","4.453","3.615","3.909","19.93","5.518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moisture.treatment","F=1.437, Df=1, P=0.241","F=52.194, Df=1, P=0","F=0.489, Df=1, P=0.49","F=3.756, Df=1, P=0.063","F=60.97, Df=1, P=0","F=67.806, Df=1, P=0","F=2.803, Df=1, P=0.106","F=0.198, Df=1, P=0.66","F=0.184, Df=1, P=0.672","F=66.932, Df=1, P=0","F=3.954, Df=1, P=0.057","F=0, Df=1, P=0.986","F=0.002, Df=1, P=0.967","F=1.661, Df=1, P=0.208","F=213.65, Df=1, P=0","F=6.615, Df=1, P=0.017","F=98.987, Df=1, P=0","F=1.764, Df=1, P=0.195","F=57.354, Df=1, P=0","F=2.767, Df=1, P=0.108","F=0.415, Df=1, P=0.525","F=0.432, Df=1, P=0.517","F=0.186, Df=1, P=0.67","F=1.097, Df=1, P=0.304","F=0.667, Df=1, P=0.421","F=0.137, Df=1, P=0.714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Residue.type","F=0.713, Df=4, P=0.59","F=15.549, Df=4, P=0","F=1.063, Df=4, P=0.394","F=7.873, Df=4, P=0","F=26.508, Df=4, P=0","F=6.789, Df=4, P=0.001","F=0.145, Df=4, P=0.964","F=3.076, Df=4, P=0.033","F=0.033, Df=4, P=0.998","F=16.825, Df=4, P=0","F=2.844, Df=4, P=0.043","F=4.429, Df=4, P=0.007","F=2.051, Df=4, P=0.115","F=0.892, Df=4, P=0.482","F=28.819, Df=4, P=0","F=0.862, Df=4, P=0.501","F=43.297, Df=4, P=0","F=167.784, Df=4, P=0","F=15.755, Df=4, P=0","F=126.993, Df=4, P=0","F=14.673, Df=4, P=0","F=234.157, Df=4, P=0","F=3.773, Df=4, P=0.015","F=4.674, Df=4, P=0.005","F=1.446, Df=4, P=0.246","F=1.558, Df=4, P=0.214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moisture.treatment_Residue.type","F=0.294, Df=4, P=0.879","F=11.881, Df=4, P=0","F=0.411, Df=4, P=0.799","F=1.006, Df=4, P=0.422","F=7.023, Df=4, P=0.001","F=9.218, Df=4, P=0","F=0.432, Df=4, P=0.785","F=2.614, Df=4, P=0.057","F=0.086, Df=4, P=0.986","F=11.428, Df=4, P=0","F=6.57, Df=4, P=0.001","F=0.101, Df=4, P=0.981","F=0.287, Df=4, P=0.884","F=1.202, Df=4, P=0.333","F=1.056, Df=4, P=0.397","F=7.241, Df=4, P=0.001","F=20.288, Df=4, P=0","F=12.478, Df=4, P=0","F=16.101, Df=4, P=0","F=18.872, Df=4, P=0","F=20.002, Df=4, P=0","F=12.576, Df=4, P=0","F=1.152, Df=4, P=0.354","F=0.912, Df=4, P=0.471","F=1.294, Df=4, P=0.297","F=0.592, Df=4, P=0.671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
