"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"response","ITS_richness_24 hr","ITS_richness_6 mo","ITS_shannon.div_24 hr","ITS_shannon.div_6 mo","ITS_simpson.div_24 hr","ITS_simpson.div_6 mo","ITS_invsimpson.div_24 hr","ITS_invsimpson.div_6 mo","ITS_evenness_24 hr","ITS_evenness_6 mo"
"shapiro","0.001","0.976","0.007","0","0.001","0","0","0","0","0"
"var","5.667","4.556","4.075","18.804","4.641","11.282","54.325","73.803","4.359","8.852"
"Moisture.treatment","F=0.001, Df=1, P=0.978","F=1.269, Df=1, P=0.264","F=0.338, Df=1, P=0.563","F=1.866, Df=1, P=0.176","F=0.936, Df=1, P=0.337","F=1.174, Df=1, P=0.283","F=0.653, Df=1, P=0.422","F=1.88, Df=1, P=0.175","F=0.793, Df=1, P=0.376","F=1.25, Df=1, P=0.268"
"Residue.type","F=26.936, Df=4, P=0","F=79.722, Df=4, P=0","F=351.441, Df=4, P=0","F=247.568, Df=4, P=0","F=313.438, Df=4, P=0","F=183.643, Df=4, P=0","F=300.965, Df=4, P=0","F=107.328, Df=4, P=0","F=287.382, Df=4, P=0","F=80.893, Df=4, P=0"
"Moisture.treatment_Residue.type","F=0.328, Df=4, P=0.858","F=0.945, Df=4, P=0.444","F=1.334, Df=4, P=0.267","F=2.224, Df=4, P=0.076","F=2.417, Df=4, P=0.057","F=1.334, Df=4, P=0.266","F=1.082, Df=4, P=0.373","F=1.515, Df=4, P=0.208","F=0.769, Df=4, P=0.549","F=0.935, Df=4, P=0.449"
