"","file.names","X","submitted.by","library","well","utia","id","sample.id","plate","row","column","Sample.number","richness","shannon.div","simpson.div","invsimpson.div","evenness"
"28","Wooliver_16S_1C12_Beever240927_S91",28,"Wooliver","16S","1C12","Beever240927",NA,"S91",1,"C",12,"41",11625,7.70388006342721,0.996028754281642,251.810155029507,0.822983812985552
"29","Wooliver_16S_1C2_Beever240927_S11",29,"Wooliver","16S","1C2","Beever240927",NA,"S11",1,"C",2,"43",15605,7.81739976608572,0.995927662307355,245.55920345363,0.809644650332305
"30","Wooliver_16S_1C3_Beever240927_S19",30,"Wooliver","16S","1C3","Beever240927",NA,"S19",1,"C",3,"75",21549,7.95552403810058,0.995831132273403,239.873285885279,0.797299710783298
"31","Wooliver_16S_1C4_Beever240927_S27",31,"Wooliver","16S","1C4","Beever240927",NA,"S27",1,"C",4,"107",39713,9.92829057245688,0.99988836424848,8957.70383939387,0.937565756138132
"32","Wooliver_16S_1C5_Beever240927_S35",32,"Wooliver","16S","1C5","Beever240927",NA,"S35",1,"C",5,"139",27044,8.27746456102811,0.996805739659777,313.061520818385,0.811101004925329
"33","Wooliver_16S_1C6_Beever240927_S43",33,"Wooliver","16S","1C6","Beever240927",NA,"S43",1,"C",6,"12",10621,6.86202544138955,0.992436342343853,132.211166271827,0.740193082314118
"34","Wooliver_16S_1C7_Beever240927_S51",34,"Wooliver","16S","1C7","Beever240927",NA,"S51",1,"C",7,"44",13826,7.31923160729598,0.993824263689838,161.924011935951,0.767673230453389
"35","Wooliver_16S_1C8_Beever240927_S59",35,"Wooliver","16S","1C8","Beever240927",NA,"S59",1,"C",8,"76",19187,7.45699606198329,0.993944237791516,165.131979356629,0.756135160219157
"36","Wooliver_16S_1C9_Beever240927_S67",36,"Wooliver","16S","1C9","Beever240927",NA,"S67",1,"C",9,"108",31494,9.69338436211931,0.999862455824599,7270.39147303251,0.935875972703848
"37","Wooliver_16S_1D1_Beever240927_S4",37,"Wooliver","16S","1D1","Beever240927",NA,"S4",1,"D",1,"15",17643,7.81105846161731,0.9952327536257,209.764698839768,0.798832385489668
"38","Wooliver_16S_1D10_Beever240927_S76",38,"Wooliver","16S","1D10","Beever240927",NA,"S76",1,"D",10,"144",16394,7.55544828947278,0.994817449683007,192.955193646871,0.778537317578095
"39","Wooliver_16S_1D11_Beever240927_S84",39,"Wooliver","16S","1D11","Beever240927",NA,"S84",1,"D",11,"13",20754,7.82025125623253,0.995338261294506,214.512237423673,0.78670647931563
