"","Var1","Freq","percentage"
"1","Achroceratosphaeria",27,0.81
"2","Acrocalymma",68,2.04
"3","Annulohypoxylon",2,0.06
"4","Aquapeziza",45,1.35
"5","Arachnopeziza",1,0.03
"6","Atractium",20,0.6
"7","Atrocalyx",21,0.63
"8","Auricularia",3,0.09
"9","Bactrodesmium",19,0.57
"10","Barbatosphaeria",1,0.03
"11","Biatriospora",1,0.03
"12","Biscogniauxia",4,0.12
"13","Bloxamia",25,0.75
"14","Bondarzewia",15,0.45
"15","Calycina",19,0.57
"16","Camarops",2,0.06
"17","Candelabrochaete",1,0.03
"18","Catinella",1,0.03
"19","Ceratostomella",3,0.09
"20","Chrysosporium",4,0.12
"21","Cinereomyces",1,0.03
"22","Cirrenalia",43,1.29
"23","Cistella",13,0.39
"24","Clonostachys",104,3.12
"25","Conioscypha",271,8.14
"26","Conlarium",24,0.72
"27","Corticium",1,0.03
"28","Corylicola",1,0.03
"29","Crepidotus",2,0.06
"30","Cyanosporus",1,0.03
"31","Cystoagaricus",51,1.53
"32","Dactylella",17,0.51
"33","Daldinia",1,0.03
"34","Dentocorticium",1,0.03
"35","Dichostereum",2,0.06
"36","Dictyosporella",40,1.2
"37","Distoseptispora",2,0.06
"38","Donadinia",8,0.24
"39","Duportella",1,0.03
"40","Endophragmiella",19,0.57
"41","Exidia",1,0.03
"42","Fibroporia",1,0.03
"43","Fibulochlamys",1,0.03
"44","Flabellascoma",8,0.24
"45","Fomitopsis",1,0.03
"46","Galerina",1,0.03
"47","Grifola",2,0.06
"48","Gymnopilus",4,0.12
"49","Halosarpheia",1,0.03
"50","Helicogloea",1,0.03
"51","Helicoma",50,1.5
"52","Helicosporium",2,0.06
"53","Hericium",1,0.03
"54","Humicola",366,10.99
"55","Hyalorbilia",22,0.66
"56","Hydnomerulius",1,0.03
"57","Hyphodontia",4,0.12
"58","Hypholoma",9,0.27
"59","Hypochnicium",1,0.03
"60","Hypomontagnella",6,0.18
"61","Hypoxylon",59,1.77
"62","Inocutis",1,0.03
"63","Inonotus",1,0.03
"64","Keissleriella",6,0.18
"65","Kretzschmaria",4,0.12
"66","Leucogyrophana",1,0.03
"67","Limnoperdon",15,0.45
"68","Lindtneria",4,0.12
"69","Lopadostoma",13,0.39
"70","Lophiotrema",2,0.06
"71","Loweomyces",1,0.03
"72","Mariannaea",105,3.15
"73","Melanconiella",21,0.63
"74","Melanoctona",16,0.48
"75","Minimelanolocus",3,0.09
"76","Minutisphaera",26,0.78
"77","Montagnula",2,0.06
"78","Murispora",1,0.03
"79","Mytilinidion",1,0.03
"80","Natantispora",5,0.15
"81","Nemania",20,0.6
"82","Neobulgaria",53,1.59
"83","Neocamarosporium",2,0.06
"84","Neohelicomyces",5,0.15
"85","Neoroussoella",33,0.99
"86","Obolarina",6,0.18
"87","Oliveonia",21,0.63
"88","Oncopodiella",1,0.03
"89","Ophionectria",1,0.03
"90","Orbilia",23,0.69
"91","Papulaspora",631,18.94
"92","Paracamarosporium",4,0.12
"93","Paraconiothyrium",46,1.38
"94","Paramonodictys",3,0.09
"95","Paraphaeosphaeria",18,0.54
"96","Penicillifer",2,0.06
"97","Peniophora",2,0.06
"98","Perenniporia",6,0.18
"99","Phanerochaete",1,0.03
"100","Phillipsia",4,0.12
"101","Phlebia",2,0.06
"102","Pholiota",8,0.24
"103","Phomatodes",1,0.03
"104","Phomatospora",10,0.3
"105","Physalacria",6,0.18
"106","Pleotrichocladium",12,0.36
"107","Pleurotheciella",14,0.42
"108","Poaceascoma",59,1.77
"109","Porotheleum",4,0.12
"110","Postia",1,0.03
"111","Psathyrella",61,1.83
"112","Pseudoanungitea",1,0.03
"113","Pseudorobillarda",1,0.03
"114","Pyrenochaeta",37,1.11
"115","Roussoella",12,0.36
"116","Savoryella",44,1.32
"117","Schizophyllum",2,0.06
"118","Schizopora",1,0.03
"119","Scopuloides",7,0.21
"120","Scutellinia",21,0.63
"121","Scytalidium",187,5.61
"122","Selenophoma",1,0.03
"123","Simocybe",1,0.03
"124","Smaragdiniseta",1,0.03
"125","Spegazzinia",7,0.21
"126","Spongiporus",2,0.06
"127","Sporidesmiella",61,1.83
"128","Sporormurispora",4,0.12
"129","Sporoschisma",1,0.03
"130","Stachybotrys",53,1.59
"131","Stereum",1,0.03
"132","Subulicystidium",47,1.41
"133","Thyridium",4,0.12
"134","Trametes",1,0.03
"135","Trechispora",31,0.93
"136","Tyromyces",1,0.03
"137","Valsonectria",52,1.56
"138","Vararia",5,0.15
"139","Varicosporellopsis",1,0.03
"140","Virgaria",6,0.18
"141","Whalleya",4,0.12
"142","Xylaria",10,0.3
"143","Xylomelasma",9,0.27
