"","Var1","Freq","percentage"
"1","f__Acrocalymmaceae",68,0.19
"2","f__Acrospermales_fam_Incertae_sedis",2,0.01
"3","f__Agaricaceae",95,0.27
"4","f__Alphamycetaceae",54,0.15
"5","f__Amanitaceae",1,0
"6","f__Ambisporaceae",6,0.02
"7","f__Amniculicolaceae",1,0
"8","f__Amorosiaceae",1,0
"9","f__Amphisphaeriaceae",48,0.13
"10","f__Annulatascaceae",40,0.11
"11","f__Anungitiomycetaceae",2,0.01
"12","f__Apiosporaceae",14,0.04
"13","f__Ascobolaceae",20,0.06
"14","f__Ascodesmidaceae",2,0.01
"15","f__Ascosphaeraceae",1,0
"16","f__Aspergillaceae",822,2.31
"17","f__Atractosporaceae",48,0.13
"18","f__Auriculariaceae",11,0.03
"19","f__Auriculariales_fam_Incertae_sedis",21,0.06
"20","f__Backusellaceae",2,0.01
"21","f__Bambusicolaceae",1,0
"22","f__Barbatosphaeriaceae",36,0.1
"23","f__Bartaliniaceae",20,0.06
"24","f__Basidiobolaceae",11,0.03
"25","f__Biatriosporaceae",1,0
"26","f__Bionectriaceae",294,0.82
"27","f__Blastocladiaceae",1,0
"28","f__Bloxamiaceae",25,0.07
"29","f__Bolbitiaceae",40,0.11
"30","f__Boletaceae",12,0.03
"31","f__Boletales_fam_Incertae_sedis",3,0.01
"32","f__Boletinellaceae",3,0.01
"33","f__Boliniaceae",3,0.01
"34","f__Boliniales_fam_Incertae_sedis",14,0.04
"35","f__Bombardiaceae",45,0.13
"36","f__Bondarzewiaceae",16,0.04
"37","f__Botryosphaeriaceae",44,0.12
"38","f__Bulleraceae",2,0.01
"39","f__Bulleribasidiaceae",46,0.13
"40","f__Calcarisporiellaceae",5,0.01
"41","f__Callistosporiaceae",1,0
"42","f__Calloriaceae",11,0.03
"43","f__Capnodiaceae",2,0.01
"44","f__Ceratobasidiaceae",78,0.22
"45","f__Ceratocystidaceae",2,0.01
"46","f__Chaetomellaceae",1,0
"47","f__Chaetomiaceae",944,2.65
"48","f__Chaetosphaeriaceae",361,1.01
"49","f__Chionosphaeraceae",57,0.16
