"","Var1","Freq","percentage"
"1","o__Agaricales",169,5.07
"2","o__Annulatascales",40,1.2
"3","o__Atractiellales",1,0.03
"4","o__Atractosporales",24,0.72
"5","o__Auriculariales",25,0.75
"6","o__Boletales",2,0.06
"7","o__Boliniales",2,0.06
"8","o__Chaetosphaeriales",1,0.03
"9","o__Chaetothyriales",19,0.57
"10","o__Conioscyphales",271,8.14
"11","o__Corticiales",2,0.06
"12","o__Diaporthales",21,0.63
"13","o__Distoseptisporales",2,0.06
"14","o__Dothideales",1,0.03
"15","o__Dothideomycetes_ord_Incertae_sedis",1,0.03
"16","o__Helotiales",317,9.52
"17","o__Hymenochaetales",7,0.21
"18","o__Hypocreales",340,10.21
"19","o__Microascales",49,1.47
"20","o__Minutisphaerales",26,0.78
"21","o__Mytilinidiales",1,0.03
"22","o__Onygenales",4,0.12
"23","o__Orbiliales",62,1.86
"24","o__Pezizales",78,2.34
"25","o__Phomatosporales",10,0.3
"26","o__Pisorisporiales",27,0.81
"27","o__Pleosporales",410,12.31
"28","o__Pleurotheciales",14,0.42
"29","o__Polyporales",31,0.93
"30","o__Russulales",26,0.78
"31","o__Savoryellales",44,1.32
"32","o__Sordariales",1016,30.5
"33","o__Sordariomycetes_ord_Incertae_sedis",10,0.3
"34","o__Thyridiales",4,0.12
"35","o__Trechisporales",78,2.34
"36","o__Tubeufiales",57,1.71
"37","o__Venturiales",1,0.03
"38","o__Xylariales",138,4.14
