"","Var1","Freq","percentage"
"448","g__Physalacria",6,0.02
"449","g__Physoderma",6,0.02
"450","g__Pichia",1,0
"451","g__Piskurozyma",2,0.01
"452","g__Pisolithus",5,0.01
"453","g__Plectosphaerella",55,0.15
"454","g__Plenodomus",26,0.07
"455","g__Pleotrichocladium",12,0.03
"456","g__Pleurotheciella",14,0.04
"457","g__Pluteus",37,0.1
"458","g__Poaceascoma",59,0.17
"459","g__Podila",10,0.03
"460","g__Podospora",169,0.47
"461","g__Poitrasia",7,0.02
"462","g__Polylobatispora",15,0.04
"463","g__Polyschema",59,0.17
"464","g__Polytolypa",36,0.1
"465","g__Populomyces",10,0.03
"466","g__Porotheleum",4,0.01
"467","g__Postia",1,0
"468","g__Powellomyces",5,0.01
"469","g__Preussia",124,0.35
"470","g__Psathyrella",61,0.17
"471","g__Pseudaleuria",4,0.01
"472","g__Pseudallescheria",3,0.01
"473","g__Pseudeurotium",36,0.1
"474","g__Pseudoacrodictys",1,0
"475","g__Pseudoanungitea",1,0
"476","g__Pseudoarthrographis",1,0
"477","g__Pseudocoleophoma",32,0.09
"478","g__Pseudocosmospora",26,0.07
"479","g__Pseudocyclothyriella",50,0.14
"480","g__Pseudodactylaria",55,0.15
"481","g__Pseudoechria",11,0.03
"482","g__Pseudoophiobolus",17,0.05
"483","g__Pseudophialocephala",37,0.1
"484","g__Pseudopithomyces",52,0.15
"485","g__Pseudorhypophila",88,0.25
"486","g__Pseudorobillarda",1,0
"487","g__Pseudospiromastix",7,0.02
"488","g__Pseudothielavia",72,0.2
"489","g__Pseudozyma",1,0
"490","g__Purpureocillium",29,0.08
"491","g__Pyrenochaeta",37,0.1
"492","g__Pyrenochaetopsis",164,0.46
"493","g__Pyrenopeziza",4,0.01
"494","g__Pyrenophora",2,0.01
"495","g__Pyxidiophora",9,0.03
"496","g__Ramicandelaber",582,1.63
"497","g__Ramophialophora",45,0.13
"498","g__Remersonia",2,0.01
"499","g__Retiboletus",1,0
"500","g__Rhinocladiella",26,0.07
"501","g__Rhizophagus",29,0.08
"502","g__Rhizophlyctis",92,0.26
"503","g__Rhizophydium",34,0.1
"504","g__Rhizopus",30,0.08
"505","g__Rhodocybe",1,0
"506","g__Rhodotorula",13,0.04
"507","g__Robillarda",17,0.05
"508","g__Romagnesiella",2,0.01
"509","g__Rosellinia",1,0
"510","g__Roussoella",12,0.03
"511","g__Russula",1,0
"512","g__Sagenomella",30,0.08
"513","g__Saitozyma",13,0.04
"514","g__Sakaguchia",47,0.13
"515","g__Sarocladium",57,0.16
"516","g__Savoryella",44,0.12
"517","g__Scedosporium",41,0.11
"518","g__Schizophyllum",2,0.01
"519","g__Schizopora",1,0
"520","g__Schizothecium",510,1.43
"521","g__Scleroderma",15,0.04
"522","g__Sclerostagonospora",15,0.04
"523","g__Sclerotinia",4,0.01
"524","g__Scolecobasidium",66,0.19
"525","g__Scopulariopsis",2,0.01
"526","g__Scopuloides",7,0.02
"527","g__Scutellinia",21,0.06
"528","g__Scytalidium",187,0.52
"529","g__Selenophoma",1,0
"530","g__Septoglomus",20,0.06
"531","g__Septoria",34,0.1
"532","g__Septoriella",9,0.03
"533","g__Serendipita",8,0.02
"534","g__Sesquicillium",14,0.04
"535","g__Setophaeosphaeria",3,0.01
"536","g__Setophoma",16,0.04
"537","g__Similiphoma",3,0.01
"538","g__Simocybe",1,0
"539","g__Sistotrema",11,0.03
"540","g__Smaragdiniseta",1,0
"541","g__Solicoccozyma",4,0.01
"542","g__Spegazzinia",7,0.02
"543","g__Sphaerostilbella",4,0.01
"544","g__Spiromastigoides",4,0.01
"545","g__Spiromastix",25,0.07
"546","g__Spirosphaera",3,0.01
"547","g__Spizellomyces",66,0.19
"548","g__Spongiporus",2,0.01
"549","g__Sporidesmiella",61,0.17
"550","g__Sporidesmium",34,0.1
"551","g__Sporobolomyces",12,0.03
"552","g__Sporormiella",3,0.01
"553","g__Sporormurispora",4,0.01
"554","g__Sporoschisma",1,0
"555","g__Sporothrix",1,0
"556","g__Stachybotrys",53,0.15
"557","g__Stachylidium",23,0.06
"558","g__Stagonosporopsis",54,0.15
"559","g__Staphylotrichum",182,0.51
"560","g__Stemphylium",14,0.04
"561","g__Stenocarpella",5,0.01
"562","g__Stephanonectria",12,0.03
"563","g__Stereum",1,0
"564","g__Strelitziana",1,0
"565","g__Striaticonidium",87,0.24
"566","g__Strobilurus",1,0
"567","g__Stropharia",4,0.01
"568","g__Strumella",1,0
"569","g__Subramaniula",9,0.03
"570","g__Subulicystidium",47,0.13
"571","g__Suillus",1,0
"572","g__Symmetrospora",3,0.01
"573","g__Syncephalis",16,0.04
"574","g__Syzygospora",1,0
"575","g__Talaromyces",258,0.72
"576","g__Taphrina",2,0.01
"577","g__Tausonia",5,0.01
"578","g__Teichospora",1,0
"579","g__Terfezia",9,0.03
"580","g__Tetracladium",53,0.15
"581","g__Tetragoniomyces",1,0
"582","g__Tetrapisispora",6,0.02
"583","g__Tetraploa",31,0.09
"584","g__Thanatephorus",15,0.04
"585","g__Thaxterogaster",1,0
"586","g__Thelebolus",1,0
"587","g__Thelephora",1,0
"588","g__Thelonectria",29,0.08
"589","g__Thermomyces",8,0.02
"590","g__Thermothelomyces",1,0
"591","g__Thermothielavioides",1,0
"592","g__Thielavia",6,0.02
"593","g__Thyridium",4,0.01
"594","g__Tilachlidium",2,0.01
"595","g__Tomentella",14,0.04
"596","g__Torula",25,0.07
"597","g__Trametes",1,0
"598","g__Trechispora",31,0.09
"599","g__Tremella",1,0
"600","g__Triangularia",90,0.25
"601","g__Tricellula",25,0.07
"602","g__Trichobolus",2,0.01
"603","g__Trichoderma",709,1.99
"604","g__Tricholoma",1,0
"605","g__Trichosporon",3,0.01
"606","g__Tricladium",2,0.01
"607","g__Triscelophorus",9,0.03
"608","g__Tuber",30,0.08
"609","g__Tulostoma",1,0
"610","g__Tumenectria",12,0.03
"611","g__Tumularia",3,0.01
"612","g__Tylopilus",1,0
"613","g__Typhula",1,0
"614","g__Tyromyces",1,0
"615","g__Udeniozyma",12,0.03
"616","g__Uredinophila",3,0.01
