"","Var1","Freq","percentage"
"160","Paraphaeosphaeria michotii",12,0.36
"161","Paraphaeosphaeria minitans",1,0.03
"162","Paraphaeosphaeria NA",2,0.06
"163","Paraphaeosphaeria sporulosa",2,0.06
"164","Penicillifer diparietisporus",2,0.06
"165","Peniophora NA",2,0.06
"166","Perenniporia NA",1,0.03
"167","Perenniporia narymica",4,0.12
"168","Perenniporia pyricola",1,0.03
"169","Phanerochaete burtii",1,0.03
"170","Phillipsia crispata",1,0.03
"171","Phillipsia NA",3,0.09
"172","Phlebia bresadolae",1,0.03
"173","Phlebia brevispora",1,0.03
"174","Pholiota adiposa",3,0.09
"175","Pholiota chocenensis",1,0.03
"176","Pholiota polychroa",2,0.06
"177","Pholiota spumosa",2,0.06
"178","Phomatodes aubrietiae",1,0.03
"179","Phomatospora NA",10,0.3
"180","Physalacria maipoensis",6,0.18
"181","Pleotrichocladium opacum",12,0.36
"182","Pleurotheciella NA",9,0.27
"183","Pleurotheciella uniseptata",5,0.15
"184","Poaceascoma helicoides",36,1.08
"185","Poaceascoma NA",23,0.69
"186","Porotheleum NA",4,0.12
"187","Postia stiptica",1,0.03
"188","Psathyrella carinthiaca",4,0.12
"189","Psathyrella NA",56,1.68
"190","Psathyrella squamosa",1,0.03
"191","Pseudoanungitea NA",1,0.03
"192","Pseudorobillarda sojae",1,0.03
"193","Pyrenochaeta NA",36,1.08
"194","Pyrenochaeta nobilis",1,0.03
"195","Roussoella siamensis",12,0.36
"196","Savoryella aquatica",43,1.29
"197","Savoryella longispora",1,0.03
"198","Schizophyllum commune",2,0.06
"199","Schizopora paradoxa",1,0.03
"200","Scopuloides NA",7,0.21
"201","Scutellinia NA",21,0.63
"202","Scytalidium aurantiacum",22,0.66
"203","Scytalidium circinatum",2,0.06
"204","Scytalidium lignicola",8,0.24
"205","Scytalidium NA",91,2.73
"206","Scytalidium sphaerosporum",64,1.92
"207","Selenophoma mahoniae",1,0.03
"208","Simocybe filopes",1,0.03
"209","Smaragdiniseta NA",1,0.03
"210","Spegazzinia radermacherae",7,0.21
"211","Spongiporus gloeoporus",2,0.06
"212","Sporidesmiella NA",5,0.15
"213","Sporidesmiella obovoidia",56,1.68
"214","Sporormurispora atraphaxis",4,0.12
"215","Sporoschisma hemipsilum",1,0.03
"216","Stachybotrys aloicola",1,0.03
"217","Stachybotrys limonisporus",46,1.38
"218","Stachybotrys NA",6,0.18
"219","Stereum ostrea",1,0.03
"220","Subulicystidium NA",47,1.41
"221","Thyridium NA",3,0.09
"222","Thyridium pluriloculosum",1,0.03
"223","Trametes cubensis",1,0.03
"224","Trechispora bispora",3,0.09
"225","Trechispora farinacea",1,0.03
"226","Trechispora invisitata",8,0.24
"227","Trechispora mollusca",5,0.15
"228","Trechispora NA",12,0.36
"229","Trechispora praefocata",2,0.06
"230","Tyromyces galactinus",1,0.03
"231","Valsonectria pulchella",52,1.56
"232","Vararia NA",5,0.15
"233","Varicosporellopsis NA",1,0.03
"234","Virgaria NA",2,0.06
"235","Virgaria nigra",4,0.12
"236","Whalleya NA",4,0.12
"237","Xylaria brevipes",1,0.03
"238","Xylaria lichenicola",2,0.06
"239","Xylaria NA",5,0.15
"240","Xylaria polymorpha",1,0.03
"241","Xylaria venosula",1,0.03
"242","Xylomelasma NA",2,0.06
"243","Xylomelasma sordida",7,0.21
