"","Var1","Freq","percentage"
"1","o__Acrospermales",1,0.05
"2","o__Agaricales",278,13.39
"3","o__Cantharellales",11,0.53
"4","o__Capnodiales",36,1.73
"5","o__Chaetosphaeriales",320,15.41
"6","o__Chaetothyriales",173,8.33
"7","o__Cystofilobasidiales",89,4.29
"8","o__Geastrales",1,0.05
"9","o__Glomerellales",18,0.87
"10","o__Helotiales",135,6.5
"11","o__Hypocreales",210,10.12
"12","o__Magnaporthales",1,0.05
"13","o__Mucorales",1,0.05
"14","o__Mycosphaerellales",3,0.14
"15","o__Pezizales",21,1.01
"16","o__Pezizomycotina_ord_Incertae_sedis",40,1.93
"17","o__Pleosporales",318,15.32
"18","o__Pseudodactylariales",55,2.65
"19","o__Pyxidiophorales",9,0.43
"20","o__Rhizophlyctidales",92,4.43
"21","o__Saccharomycetales",4,0.19
"22","o__Sordariales",119,5.73
"23","o__Thelephorales",2,0.1
"24","o__Tremellales",3,0.14
"25","o__Trichosphaeriales",112,5.39
"26","o__Venturiales",3,0.14
"27","o__Xylariales",21,1.01
