"","Var1","Freq","percentage"
"1","f__Agaricaceae",34,3.14
"2","f__Ascodesmidaceae",2,0.18
"3","f__Bolbitiaceae",5,0.46
"4","f__Chaetomiaceae",37,3.41
"5","f__Lasiosphaeriaceae",585,53.97
"6","f__Microascaceae",3,0.28
"7","f__Pezizales_fam_Incertae_sedis",2,0.18
"8","f__Podosporaceae",169,15.59
"9","f__Pseudeurotiaceae",36,3.32
"10","f__Saccharomycetaceae",1,0.09
"11","f__Sporormiaceae",209,19.28
"12","f__Thelebolaceae",1,0.09
