"","Var1","Freq","percentage"
"1","p__Ascomycota",1458,37.7
"2","p__Basidiomycota",698,18.05
"3","p__Blastocladiomycota",1,0.03
"4","p__Calcarisporiellomycota",3,0.08
"5","p__Kickxellomycota",699,18.08
"6","p__Mortierellomycota",642,16.6
"7","p__Mucoromycota",366,9.46
