"","Var1","Freq","percentage"
"156","Stephanonectria keithii",12,0.58
"157","Strobilurus NA",1,0.05
"158","Stropharia NA",4,0.19
"159","Teichospora quercus",1,0.05
"160","Tetracladium marchalianum",53,2.55
"161","Tetraploa NA",1,0.05
"162","Tetraploa pseudoaristata",1,0.05
"163","Tetraploa sasicola",7,0.34
"164","Tetraploa yunnanensis",22,1.06
"165","Thelonectria olida",26,1.25
"166","Thelonectria rubi",3,0.14
"167","Tricellula NA",25,1.2
"168","Tricladium terrestre",1,0.05
"169","Tricladium varicosporioides",1,0.05
"170","Tumenectria laetidisca",12,0.58
"171","Tumularia NA",3,0.14
"172","Veronaeopsis simplex",3,0.14
"173","Volvariella bombycina",1,0.05
"174","Volvariella murinella",3,0.14
"175","Volvariella NA",2,0.1
"176","Wettsteinina NA",4,0.19
"177","Wickerhamomyces anomalus",4,0.19
"178","Xenodidymella humicola",3,0.14
"179","Xenodidymella NA",1,0.05
