"","Var1","Freq","percentage"
"1","c__Agaricomycetes",39,3.6
"2","c__Dothideomycetes",209,19.28
"3","c__Leotiomycetes",37,3.41
"4","c__Pezizomycetes",4,0.37
"5","c__Saccharomycetes",1,0.09
"6","c__Sordariomycetes",794,73.25
