"","Var1","Freq","percentage"
"1","Apiosordaria",4,0.37
"2","Apodus",27,2.49
"3","Arnium",27,2.49
"4","Ascodesmis",2,0.18
"5","Bolbitius",3,0.28
"6","Cercophora",17,1.57
"7","Chaetomidium",21,1.94
"8","Coprinus",34,3.14
"9","Cyniclomyces",1,0.09
"10","Enterocarpus",2,0.18
"11","Kernia",1,0.09
"12","Panaeolus",2,0.18
"13","Podospora",169,15.59
"14","Preussia",124,11.44
"15","Pseudeurotium",36,3.32
"16","Remersonia",2,0.18
"17","Schizothecium",510,47.05
"18","Thelebolus",1,0.09
"19","Thielavia",6,0.55
"20","Trichobolus",2,0.18
"21","Westerdykella",85,7.84
"22","Zopfiella",8,0.74
