"","Var1","Freq","percentage"
"1","o__Agaricales",39,3.6
"2","o__Microascales",3,0.28
"3","o__Pezizales",4,0.37
"4","o__Pleosporales",209,19.28
"5","o__Saccharomycetales",1,0.09
"6","o__Sordariales",791,72.97
"7","o__Thelebolales",37,3.41
