"","Var1","Freq","percentage"
"185","Stagonosporopsis vannaccii",2,0.08
"186","Stemphylium NA",2,0.08
"187","Stemphylium vesicarium",12,0.46
"188","Stenocarpella maydis",5,0.19
"189","Strelitziana malaysiana",1,0.04
"190","Strumella NA",1,0.04
"191","Taphrina inositophila",2,0.08
"192","Thanatephorus cucumeris",7,0.27
"193","Thanatephorus NA",8,0.3
"194","Typhula micans",1,0.04
"195","Urnula craterium",19,0.72
"196","Ustilaginoidea virens",7,0.27
"197","Ustilago maydis",23,0.87
"198","Ustilago NA",1,0.04
"199","Ustilago sporoboli-indici",1,0.04
"200","Veronaea botryosa",1,0.04
"201","Veronaea compacta",5,0.19
"202","Veronaea NA",28,1.06
"203","Verticillium biguttatum",46,1.75
"204","Verticillium dahliae",22,0.84
"205","Volutella ciliata",34,1.29
"206","Volutella NA",5,0.19
"207","Waitea NA",7,0.27
"208","Waitea var._circinata",7,0.27
"209","Wongia fusiformis",6,0.23
"210","Wongia NA",15,0.57
