,file.names,submitted.by,library,well,utia,id,sample.id,plate,row,column,Sample.number,Sample.name,Moisture.treatment,Residue.type,Lab.rep,Glucose.addition.treatment,Harvest.day
1,Wooliver_16S_1A1_Beever240927_S1,Wooliver,16S,1A1,Beever240927,NA,S1,1,A,1,3,16S_Ambient_Clover_R1_G-00,Ambient,Clover,R1,G-00,T1
13,Wooliver_16S_1B1_Beever240927_S2,Wooliver,16S,1B1,Beever240927,NA,S2,1,B,1,7,16S_Ambient_Five-species mix_R1_G-00,Ambient,Five-species mix,R1,G-00,T1
25,Wooliver_16S_1C1_Beever240927_S3,Wooliver,16S,1C1,Beever240927,NA,S3,1,C,1,11,16S_Ambient_No residue_R1_G-00,Ambient,No residue,R1,G-00,T1
37,Wooliver_16S_1D1_Beever240927_S4,Wooliver,16S,1D1,Beever240927,NA,S4,1,D,1,15,16S_Ambient_Wheat_R1_G-00,Ambient,Wheat,R1,G-00,T1
49,Wooliver_16S_1E1_Beever240927_S5,Wooliver,16S,1.00E+01,Beever240927,NA,S5,1,E,1,19,16S_Ambient_Wheat-clover mix_R1_G-00,Ambient,Wheat-clover mix,R1,G-00,T1
61,Wooliver_16S_1F1_Beever240927_S6,Wooliver,16S,1F1,Beever240927,NA,S6,1,F,1,23,16S_Drought_Clover_R1_G-00,Drought,Clover,R1,G-00,T1
73,Wooliver_16S_1G1_Beever240927_S7,Wooliver,16S,1G1,Beever240927,NA,S7,1,G,1,27,16S_Drought_Five-species mix_R1_G-00,Drought,Five-species mix,R1,G-00,T1
85,Wooliver_16S_1H1_Beever240927_S8,Wooliver,16S,1H1,Beever240927,NA,S8,1,H,1,31,16S_Drought_No residue_R1_G-00,Drought,No residue,R1,G-00,T1
5,Wooliver_16S_1A2_Beever240927_S9,Wooliver,16S,1A2,Beever240927,NA,S9,1,A,2,35,16S_Drought_Wheat_R1_G-00,Drought,Wheat,R1,G-00,T1
17,Wooliver_16S_1B2_Beever240927_S10,Wooliver,16S,1B2,Beever240927,NA,S10,1,B,2,39,16S_Drought_Wheat-clover mix_R1_G-00,Drought,Wheat-clover mix,R1,G-00,T1
29,Wooliver_16S_1C2_Beever240927_S11,Wooliver,16S,1C2,Beever240927,NA,S11,1,C,2,43,16S_Ambient_Clover_R2_G-00,Ambient,Clover,R2,G-00,T1
41,Wooliver_16S_1D2_Beever240927_S12,Wooliver,16S,1D2,Beever240927,NA,S12,1,D,2,47,16S_Ambient_Five-species mix_R2_G-00,Ambient,Five-species mix,R2,G-00,T1
53,Wooliver_16S_1E2_Beever240927_S13,Wooliver,16S,1.00E+02,Beever240927,NA,S13,1,E,2,51,16S_Ambient_No residue_R2_G-00,Ambient,No residue,R2,G-00,T1
65,Wooliver_16S_1F2_Beever240927_S14,Wooliver,16S,1F2,Beever240927,NA,S14,1,F,2,55,16S_Ambient_Wheat_R2_G-00,Ambient,Wheat,R2,G-00,T1
77,Wooliver_16S_1G2_Beever240927_S15,Wooliver,16S,1G2,Beever240927,NA,S15,1,G,2,59,16S_Ambient_Wheat-clover mix_R2_G-00,Ambient,Wheat-clover mix,R2,G-00,T1
89,Wooliver_16S_1H2_Beever240927_S16,Wooliver,16S,1H2,Beever240927,NA,S16,1,H,2,63,16S_Drought_Clover_R2_G-00,Drought,Clover,R2,G-00,T1
6,Wooliver_16S_1A3_Beever240927_S17,Wooliver,16S,1A3,Beever240927,NA,S17,1,A,3,67,16S_Drought_Five-species mix_R2_G-00,Drought,Five-species mix,R2,G-00,T1
18,Wooliver_16S_1B3_Beever240927_S18,Wooliver,16S,1B3,Beever240927,NA,S18,1,B,3,71,16S_Drought_No residue_R2_G-00,Drought,No residue,R2,G-00,T1
30,Wooliver_16S_1C3_Beever240927_S19,Wooliver,16S,1C3,Beever240927,NA,S19,1,C,3,75,16S_Drought_Wheat_R2_G-00,Drought,Wheat,R2,G-00,T1
42,Wooliver_16S_1D3_Beever240927_S20,Wooliver,16S,1D3,Beever240927,NA,S20,1,D,3,79,16S_Drought_Wheat-clover mix_R2_G-00,Drought,Wheat-clover mix,R2,G-00,T1
54,Wooliver_16S_1E3_Beever240927_S21,Wooliver,16S,1.00E+03,Beever240927,NA,S21,1,E,3,83,16S_Ambient_Clover_R3_G-00,Ambient,Clover,R3,G-00,T1
66,Wooliver_16S_1F3_Beever240927_S22,Wooliver,16S,1F3,Beever240927,NA,S22,1,F,3,87,16S_Ambient_Five-species mix_R3_G-00,Ambient,Five-species mix,R3,G-00,T1
78,Wooliver_16S_1G3_Beever240927_S23,Wooliver,16S,1G3,Beever240927,NA,S23,1,G,3,91,16S_Ambient_No residue_R3_G-00,Ambient,No residue,R3,G-00,T1
90,Wooliver_16S_1H3_Beever240927_S24,Wooliver,16S,1H3,Beever240927,NA,S24,1,H,3,95,16S_Ambient_Wheat_R3_G-00,Ambient,Wheat,R3,G-00,T1
7,Wooliver_16S_1A4_Beever240927_S25,Wooliver,16S,1A4,Beever240927,NA,S25,1,A,4,99,16S_Ambient_Wheat-clover mix_R3_G-00,Ambient,Wheat-clover mix,R3,G-00,T1
19,Wooliver_16S_1B4_Beever240927_S26,Wooliver,16S,1B4,Beever240927,NA,S26,1,B,4,103,16S_Drought_Clover_R3_G-00,Drought,Clover,R3,G-00,T1
31,Wooliver_16S_1C4_Beever240927_S27,Wooliver,16S,1C4,Beever240927,NA,S27,1,C,4,107,16S_Drought_Five-species mix_R3_G-00,Drought,Five-species mix,R3,G-00,T1
43,Wooliver_16S_1D4_Beever240927_S28,Wooliver,16S,1D4,Beever240927,NA,S28,1,D,4,111,16S_Drought_No residue_R3_G-00,Drought,No residue,R3,G-00,T1
55,Wooliver_16S_1E4_Beever240927_S29,Wooliver,16S,1.00E+04,Beever240927,NA,S29,1,E,4,115,16S_Drought_Wheat_R3_G-00,Drought,Wheat,R3,G-00,T1
67,Wooliver_16S_1F4_Beever240927_S30,Wooliver,16S,1F4,Beever240927,NA,S30,1,F,4,119,16S_Drought_Wheat-clover mix_R3_G-00,Drought,Wheat-clover mix,R3,G-00,T1
79,Wooliver_16S_1G4_Beever240927_S31,Wooliver,16S,1G4,Beever240927,NA,S31,1,G,4,123,16S_Ambient_Clover_R4_G-00,Ambient,Clover,R4,G-00,T1
91,Wooliver_16S_1H4_Beever240927_S32,Wooliver,16S,1H4,Beever240927,NA,S32,1,H,4,127,16S_Ambient_Five-species mix_R4_G-00,Ambient,Five-species mix,R4,G-00,T1
8,Wooliver_16S_1A5_Beever240927_S33,Wooliver,16S,1A5,Beever240927,NA,S33,1,A,5,131,16S_Ambient_No residue_R4_G-00,Ambient,No residue,R4,G-00,T1
20,Wooliver_16S_1B5_Beever240927_S34,Wooliver,16S,1B5,Beever240927,NA,S34,1,B,5,135,16S_Ambient_Wheat_R4_G-00,Ambient,Wheat,R4,G-00,T1
32,Wooliver_16S_1C5_Beever240927_S35,Wooliver,16S,1C5,Beever240927,NA,S35,1,C,5,139,16S_Ambient_Wheat-clover mix_R4_G-00,Ambient,Wheat-clover mix,R4,G-00,T1
44,Wooliver_16S_1D5_Beever240927_S36,Wooliver,16S,1D5,Beever240927,NA,S36,1,D,5,143,16S_Drought_Clover_R4_G-00,Drought,Clover,R4,G-00,T1
56,Wooliver_16S_1E5_Beever240927_S37,Wooliver,16S,1.00E+05,Beever240927,NA,S37,1,E,5,147,16S_Drought_Five-species mix_R4_G-00,Drought,Five-species mix,R4,G-00,T1
68,Wooliver_16S_1F5_Beever240927_S38,Wooliver,16S,1F5,Beever240927,NA,S38,1,F,5,151,16S_Drought_No residue_R4_G-00,Drought,No residue,R4,G-00,T1
80,Wooliver_16S_1G5_Beever240927_S39,Wooliver,16S,1G5,Beever240927,NA,S39,1,G,5,155,16S_Drought_Wheat_R4_G-00,Drought,Wheat,R4,G-00,T1
92,Wooliver_16S_1H5_Beever240927_S40,Wooliver,16S,1H5,Beever240927,NA,S40,1,H,5,159,16S_Drought_Wheat-clover mix_R4_G-00,Drought,Wheat-clover mix,R4,G-00,T1
9,Wooliver_16S_1A6_Beever240927_S41,Wooliver,16S,1A6,Beever240927,NA,S41,1,A,6,4,16S_Ambient_Clover_R1_G-00,Ambient,Clover,R1,G-00,T90
21,Wooliver_16S_1B6_Beever240927_S42,Wooliver,16S,1B6,Beever240927,NA,S42,1,B,6,8,16S_Ambient_Five-species mix_R1_G-00,Ambient,Five-species mix,R1,G-00,T90
33,Wooliver_16S_1C6_Beever240927_S43,Wooliver,16S,1C6,Beever240927,NA,S43,1,C,6,12,16S_Ambient_No residue_R1_G-00,Ambient,No residue,R1,G-00,T90
45,Wooliver_16S_1D6_Beever240927_S44,Wooliver,16S,1D6,Beever240927,NA,S44,1,D,6,16,16S_Ambient_Wheat_R1_G-00,Ambient,Wheat,R1,G-00,T90
57,Wooliver_16S_1E6_Beever240927_S45,Wooliver,16S,1.00E+06,Beever240927,NA,S45,1,E,6,20,16S_Ambient_Wheat-clover mix_R1_G-00,Ambient,Wheat-clover mix,R1,G-00,T90
69,Wooliver_16S_1F6_Beever240927_S46,Wooliver,16S,1F6,Beever240927,NA,S46,1,F,6,24,16S_Drought_Clover_R1_G-00,Drought,Clover,R1,G-00,T90
81,Wooliver_16S_1G6_Beever240927_S47,Wooliver,16S,1G6,Beever240927,NA,S47,1,G,6,28,16S_Drought_Five-species mix_R1_G-00,Drought,Five-species mix,R1,G-00,T90
93,Wooliver_16S_1H6_Beever240927_S48,Wooliver,16S,1H6,Beever240927,NA,S48,1,H,6,32,16S_Drought_No residue_R1_G-00,Drought,No residue,R1,G-00,T90
10,Wooliver_16S_1A7_Beever240927_S49,Wooliver,16S,1A7,Beever240927,NA,S49,1,A,7,36,16S_Drought_Wheat_R1_G-00,Drought,Wheat,R1,G-00,T90
22,Wooliver_16S_1B7_Beever240927_S50,Wooliver,16S,1B7,Beever240927,NA,S50,1,B,7,40,16S_Drought_Wheat-clover mix_R1_G-00,Drought,Wheat-clover mix,R1,G-00,T90
34,Wooliver_16S_1C7_Beever240927_S51,Wooliver,16S,1C7,Beever240927,NA,S51,1,C,7,44,16S_Ambient_Clover_R2_G-00,Ambient,Clover,R2,G-00,T90
46,Wooliver_16S_1D7_Beever240927_S52,Wooliver,16S,1D7,Beever240927,NA,S52,1,D,7,48,16S_Ambient_Five-species mix_R2_G-00,Ambient,Five-species mix,R2,G-00,T90
