"","Var1","Freq","percentage"
"199","Bdellovibrio",751,0.09
"200","Beduinibacterium",141,0.02
"201","Beggiatoa",75,0.01
"202","Beijerinckia",53,0.01
"203","Bellilinea",240,0.03
"204","Belnapia",69,0.01
"205","Bermanella",1,0
"206","Bernardetia",1,0
"207","Beutenbergia",2,0
"208","Bhargavaea",20,0
"209","Bilophila",2,0
"210","Biomaibacter",2,0
"211","Blastocatella",52,0.01
"212","Blastochloris",151,0.02
"213","Blastococcus",645,0.08
"214","Blastomonas",37,0
"215","Blastopirellula",702,0.09
"216","Blautia",3,0
"217","Bogoriella",1,0
"218","Bordetella",8,0
"219","Bosea",418,0.05
"220","Bounagaea",1,0
"221","Brachymonas",2,0
"222","Bradymonas",7,0
"223","Bradyrhizobium",655,0.08
"224","Brevibacillus",838,0.1
"225","Brevibacterium",1,0
"226","Brevifollis",18,0
"227","Brevitalea",170,0.02
"228","Brevundimonas",93,0.01
"229","Breznakibacter",2,0
"230","Brucella",12,0
"231","Buchananella",48,0.01
"232","Burkholderia",168,0.02
"233","Buttiauxella",31,0
"234","Butyratibacter",114,0.01
"235","Butyricicoccus",2,0
"236","Byssovorax",960,0.12
"237","Bythopirellula",80,0.01
"238","Caballeronia",260,0.03
"239","Caecibacterium",1,0
"240","Caedibacter",2,0
"241","Caenibacillus",2,0
"242","Caenimonas",131,0.02
"243","Caldalkalibacillus",5,0
"244","Caldilinea",562,0.07
"245","Caldimonas",28,0
"246","Caldinitratiruptor",7,0
"247","Caldovatus",29,0
"248","Caloramator",10,0
"249","Caloribacterium",2,0
"250","Calorithrix",13,0
"251","Camelimonas",14,0
"252","Caminicella",1,0
"253","Candidatus_Anammoxoglobus",23,0
"254","Candidatus_Brocadia",73,0.01
"255","Candidatus_Kuenenia",4,0
"256","Candidatus_Procabacter",38,0
"257","Candidatus_Scalindua",8,0
"258","Candidimonas",4,0
"259","Caproicibacter",6,0
"260","Caproiciproducens",2,0
"261","Carnimonas",5,0
"262","Caryophanon",10,0
"263","Casimicrobium",242,0.03
"264","Catabacter",126,0.02
"265","Catellatospora",366,0.05
"266","Catelliglobosispora",26,0
"267","Catenulispora",113,0.01
"268","Catenuloplanes",41,0.01
"269","Caulobacter",894,0.11
"270","Cavicella",33,0
"271","Caviibacter",1,0
"272","Cellulomonas",169,0.02
"273","Cellulosibacter",11,0
"274","Cellulosilyticum",73,0.01
"275","Cellulosimicrobium",111,0.01
"276","Cellvibrio",71,0.01
"277","Cephaloticoccus",223,0.03
"278","Cerasicoccus",7,0
"279","Cereibacter",1,0
"280","Cesiribacter",3,0
"281","Chelativorans",37,0
"282","Chelatococcus",199,0.02
"283","Chenggangzhangella",3,0
"284","Chengkuizengella",8,0
"285","Chiayiivirga",18,0
"286","Chitinibacter",18,0
"287","Chitinimonas",2,0
"288","Chitiniphilus",4,0
"289","Chitinispirillum",3,0
"290","Chitinolyticbacter",1,0
"291","Chitinophaga",635,0.08
"292","Chlamydia",1,0
"293","Chloracidobacterium",6,0
"294","Chloroflexus",28,0
"295","Chondromyces",124,0.02
"296","Christensenella",35,0
"297","Chromatocurvus",98,0.01
"298","Chromobacterium",5,0
"299","Chryseobacterium",62,0.01
"300","Chryseolinea",2168,0.27
"301","Chryseomicrobium",4,0
"302","Chryseotalea",587,0.07
"303","Chthonobacter",7,0
"304","Chthonomonas/Armatimonadetes_gp3",1770,0.22
"305","Chujaibacter",216,0.03
"306","Chungangia",228,0.03
"307","Ciceribacter",11,0
"308","Citrobacter",3,0
"309","Clavibacter",6,0
"310","Clostridioides",22,0
"311","Clostridium_IV",80,0.01
"312","Clostridium_sensu_stricto",4058,0.5
"313","Clostridium_XlVa",111,0.01
"314","Clostridium_XlVb",387,0.05
"315","Clostridium_XVIII",36,0
"316","Cnuella",14,0
"317","Cnuibacter",8,0
"318","Cohnella",2692,0.33
"319","Collimonas",5,0
"320","Comamonas",5,0
"321","Commensalibacter",1,0
"322","Compostibacillus",24,0
"323","Compostibacter",91,0.01
"324","Conexibacter",2091,0.26
"325","Congregibacter",1,0
"326","Consotaella",1,0
"327","Constrictibacter",15,0
"328","Conyzicola",2,0
"329","Coprococcus",1,0
"330","Coraliomargarita",3,0
"331","Corallococcus",279,0.03
"332","Coralloluteibacterium",19,0
"333","Corallomonas",6,0
"334","Coriobacterium",1,0
"335","Couchioplanes",22,0
"336","Coxiella",704,0.09
"337","Craurococcus",32,0
"338","Crenalkalicoccus",11,0
"339","Crenobacter",75,0.01
"340","Croceibacterium",11,0
"341","Croceicoccus",2,0
"342","Croceifilum",124,0.02
"343","Crocinitomix",91,0.01
"344","Crossiella",9,0
"345","Cruoricaptor",1,0
"346","Cryobacterium",22,0
"347","Cryomorpha",27,0
"348","Cryptanaerobacter",28,0
"349","Cryptosporangium",128,0.02
"350","Cucumibacter",1,0
"351","Cuneatibacter",1,0
"352","Cupriavidus",638,0.08
"353","Curtobacterium",43,0.01
"354","Curvibacter",18,0
"355","Cutibacterium",1,0
"356","Cypionkella",32,0
"357","Cysteiniphilum",1,0
"358","Cystobacter",816,0.1
"359","Cytobacillus",467,0.06
"360","Cytophaga",164,0.02
"361","Dactylosporangium",704,0.09
"362","Daeguia",5,0
"363","Daejeonella",53,0.01
"364","Dankookia",211,0.03
"365","Dasania",8,0
"366","Dechloromonas",171,0.02
"367","Deefgea",3,0
"368","Defluviicoccus",161,0.02
"369","Defluviimonas",7,0
"370","Defluviitalea",1,0
"371","Dehalobacter",44,0.01
"372","Deinobacterium",3,0
"373","Deinococcus",12,0
"374","Delftia",3,0
"375","Demequina",124,0.02
"376","Dendrosporobacter",8,0
"377","Denitratisoma",35,0
"378","Derxia",4,0
"379","Desertactinospora",2,0
"380","Desertibacter",57,0.01
"381","Desertimonas",2108,0.26
"382","Desmospora",1,0
"383","Desnuesiella",56,0.01
"384","Desulfacinum",40,0
"385","Desulfatiferula",2,0
"386","Desulfatirhabdium",8,0
"387","Desulfatitalea",34,0
"388","Desulfitibacter",3,0
"389","Desulfitobacterium",105,0.01
"390","Desulfobulbus",7,0
"391","Desulfocapsa",2,0
"392","Desulfocarbo",44,0.01
"393","Desulfocella",4,0
"394","Desulfocucumis",11,0
"395","Desulfocurvus",114,0.01
"396","Desulfoglaeba",780,0.1
"397","Desulfohalovibrio",1,0
"398","Desulfomonile",5,0
"399","Desulfonema",58,0.01
"400","Desulfonispora",6,0
"401","Desulfoprunum",12,0
"402","Desulforegula",6,0
"403","Desulforhabdus",10,0
"404","Desulforhopalus",5,0
"405","Desulfosalsimonas",9,0
"406","Desulfosoma",1,0
"407","Desulfosporomusa",20,0
"408","Desulfosporosinus",125,0.02
"409","Desulfotomaculum",153,0.02
"410","Desulfovermiculus",11,0
"411","Desulfovibrio",17,0
"412","Desulfovirga",34,0
"413","Desulfurispora",3,0
"414","Desulfuromonas",49,0.01
"415","Dethiobacter",1,0
"416","Dethiosulfatarculus",18,0
"417","Devosia",1489,0.18
"418","Diaminobutyricibacter",1,0
"419","Diaminobutyricimonas",3,0
"420","Diaphorobacter",1,0
"421","Dichotomicrobium",6,0
"422","Dictyobacter",480,0.06
"423","Dinghuibacter",18,0
"424","Diplorickettsia",476,0.06
"425","Dokdonella",785,0.1
"426","Domibacillus",291,0.04
"427","Dongia",1352,0.17
"428","Duganella",34,0
"429","Duodenibacillus",8,0
"430","Dyadobacter",183,0.02
"431","Dyella",271,0.03
"432","Dysgonomonas",2,0
"433","Dysosmobacter",3,0
"434","Ectothiorhodosinus",19,0
"435","Edaphobaculum",549,0.07
"436","Edaphorhabdus",5,0
"437","Effusibacillus",45,0.01
"438","Egibacter",113,0.01
"439","Egicoccus",42,0.01
"440","Eilatimonas",3,0
"441","Eionea",2,0
"442","Eisenbergiella",1,0
"443","Eisenibacter",1,0
"444","Elkelangia",1,0
"445","Elstera",78,0.01
"446","Elusimicrobium",255,0.03
"447","Embleya",48,0.01
"448","Emcibacter",5,0
"449","Emticicia",21,0
"450","Endobacter",23,0
"451","Endomicrobium",180,0.02
"452","Endothiovibrio",1,0
"453","Enhygromyxa",224,0.03
"454","Ensifer",116,0.01
"455","Enterobacter",52,0.01
"456","Enterocloster",10,0
"457","Enterovirga",17,0
"458","Entomoplasma",3,0
"459","Eoetvoesia",4,0
"460","Ereboglobus",5,0
"461","Erwinia",6,0
"462","Erysipelatoclostridium",19,0
"463","Erythrobacter",135,0.02
"464","Erythromicrobium",17,0
"465","Estrella",403,0.05
"466","Ethanoligenens",13,0
"467","Euryhalocaulis",1,0
"468","Euzebya",45,0.01
"469","Exiguobacterium",4,0
"470","Exilibacterium",4,0
"471","Extensimonas",1,0
"472","Fabibacter",12,0
"473","Faecalibacter",8,0
"474","Falcatimonas",1,0
"475","Falsibacillus",305,0.04
"476","Falsochrobactrum",1,0
"477","Fangia",2,0
"478","Fastidiosibacter",2,0
"479","Fermentibacillus",39,0
"480","Ferribacterium",7,0
"481","Ferrimicrobium",16,0
