"","Var1","Freq","percentage"
"1","Abditibacteria",114,0.01
"2","Acidimicrobiia",23326,2.9
"3","Acidobacteria_Gp1",7882,0.98
"4","Acidobacteria_Gp10",4166,0.52
"5","Acidobacteria_Gp11",338,0.04
"6","Acidobacteria_Gp12",44,0.01
"7","Acidobacteria_Gp13",254,0.03
"8","Acidobacteria_Gp14",10,0
"9","Acidobacteria_Gp15",155,0.02
"10","Acidobacteria_Gp16",2581,0.32
"11","Acidobacteria_Gp17",1106,0.14
"12","Acidobacteria_Gp18",138,0.02
"13","Acidobacteria_Gp19",7,0
"14","Acidobacteria_Gp2",1260,0.16
"15","Acidobacteria_Gp20",8,0
"16","Acidobacteria_Gp21",180,0.02
"17","Acidobacteria_Gp22",1729,0.21
"18","Acidobacteria_Gp25",1393,0.17
"19","Acidobacteria_Gp26",1,0
"20","Acidobacteria_Gp3",12439,1.54
"21","Acidobacteria_Gp4",5484,0.68
"22","Acidobacteria_Gp5",3135,0.39
"23","Acidobacteria_Gp6",13800,1.71
"24","Acidobacteria_Gp7",3903,0.48
"25","Acidobacteria_Gp9",14,0
"26","Actinobacteria",68556,8.51
"27","Alphaproteobacteria",81953,10.17
"28","Anaerolineae",6932,0.86
"29","Aquificae",3,0
"30","Ardenticatenia",37,0
"31","Armatimonadetes_gp2",415,0.05
"32","Armatimonadetes_gp4",5025,0.62
"33","Armatimonadetes_gp5",799,0.1
"34","Armatimonadia",615,0.08
"35","Bacilli",51852,6.44
"36","Bacteroidia",500,0.06
"37","Balneolia",1,0
"38","Betaproteobacteria",26877,3.34
"39","Blastocatellia",3080,0.38
"40","Caldilineae",1883,0.23
"41","Campylobacteria",5,0
"42","Candidatus_Cloacamonas",4,0
"43","Candidatus_Hydrogenedens",76,0.01
"44","Chitinispirillia",3,0
"45","Chitinophagia",14133,1.75
"46","Chlamydiia",11289,1.4
"47","Chloroflexia",6707,0.83
"48","Chloroplast",2118,0.26
"49","Chthonomonadetes",1770,0.22
"50","Clostridia",24678,3.06
"51","Coriobacteriia",121,0.02
"52","Cyanobacteria",1595,0.2
"53","Cytophagia",8268,1.03
"54","Deferribacteres",24,0
"55","Deinococci",32,0
"56","Deltaproteobacteria",79823,9.91
"57","Elusimicrobia",255,0.03
"58","Endomicrobia",180,0.02
"59","Erysipelotrichia",336,0.04
"60","Fimbriimonadia",50,0.01
"61","Flavobacteriia",3409,0.42
"62","Fusobacteriia",2,0
"63","Gammaproteobacteria",45295,5.62
"64","Gemmatimonadetes",18952,2.35
"65","Halobacteria",1,0
"66","Holophagae",220,0.03
"67","Hydrogenophilalia",55,0.01
"68","Ignavibacteria",226,0.03
"69","Kiritimatiellae",3,0
"70","Ktedonobacteria",3347,0.42
"71","Limnochordia",21,0
"72","Longimicrobia",1748,0.22
"73","Methanopyri",1,0
"74","Mollicutes",50,0.01
"75","Negativicutes",1878,0.23
"76","Nitriliruptoria",493,0.06
"77","Nitrosopumilales",3,0
"78","Nitrososphaerales",182,0.02
"79","Nitrospinia",8,0
"80","Nitrospira",2248,0.28
"81","Oligoflexia",2347,0.29
"82","Opitutae",2003,0.25
"83","Phycisphaerae",1765,0.22
"84","Planctomycetacia",42149,5.23
"85","Rhodothermia",14,0
"86","Rubrobacteria",167,0.02
"87","Saccharicenantaceae",5,0
"88","Saprospiria",523,0.06
"89","Spartobacteria",3499,0.43
"90","Sphingobacteriia",1553,0.19
"91","Spirochaetia",724,0.09
"92","Subdivision3",9954,1.24
"93","Subdivision5",1078,0.13
"94","Synergistia",2,0
"95","Terrimicrobia",914,0.11
"96","Thermoanaerobaculia",70,0.01
"97","Thermodesulfobacteria",13,0
"98","Thermoflexia",632,0.08
"99","Thermoleophilia",44788,5.56
"100","Thermomicrobia",7585,0.94
"101","Thermoplasmata",7,0
"102","Thermoprotei",70,0.01
"103","Thermotogae",1,0
"104","Verrucomicrobiae",1626,0.2
"105","Vicinamibacteria",6455,0.8
"106","Woesearchaeota_Incertae_Sedis_AR15",1,0
"107","Zetaproteobacteria",1,0
